,Comment,Label,Score,Unnamed: 0
0,in more afraid of democrats than i am of some human created ai..,0,0.8654658993085226,
1,I am more afraid of democrats than I am of humans.,0,0.8654658993085226,
2,I am more afraid of democrats than I am of some human.,0,0.8654658993085226,
3,I am afraid of democrats more than I am of humans.,0,0.8654658993085226,
4,I am more afraid of democrats than I am of human creation.,0,0.8654658993085226,
5,I'm more afraid of democrats than I am of humans.,0,0.8654658993085226,
6,"we are getting very close to the time the great depression started years ago, ending around the was. i think it's about to happen again with these jobs being taken away",0,0.8990600109100342,
7,"I think we are close to the time when the great depression started, with these jobs being taken away.",0,0.8990600109100342,
8,"We are close to the time when the great depression started, with these jobs being taken away.",0,0.8990600109100342,
9,"We are very close to the time when the great depression started, and I think it's about to happen again with these jobs being taken away.",0,0.8990600109100342,
10,"We are close to the time when the great depression started, with jobs being taken away.",0,0.8990600109100342,
11,"I think we are close to the time when the great depression started, with jobs being taken away.",0,0.8990600109100342,
12,"good stuff! another youtuber named hosanna passing just tried making a cake using a recipe generate by ai... it turned out horribly, as she fought her urge to change things up that she knew weren't going to work properly, realizing that most people wouldn't know it wasn't going to work.",2,0.8967933058738708,
13,"She fought her urge to change things up that she knew weren't going to work properly, realizing that most people wouldn't know it wasn't working.",2,0.8967933058738708,
14,"She fought her urge to change things up that she knew weren't going to work properly, realizing that most people wouldn't know it wasn't right.",2,0.8967933058738708,
15,"She fought her urge to change things up that she knew weren't going to work properly, realizing that most people wouldn't know it wasn't a good idea.",2,0.8967933058738708,
16,"She fought her urge to change things up that she knew weren't going to work well, realizing that most people wouldn't know it wasn't working.",2,0.8967933058738708,
17,"She fought her urge to change things up that she knew weren't going to work properly, realizing that most people wouldn't know it wasn't.",2,0.8967933058738708,
18,would it be that bad if ai could replace some jobs were human make a lot of mistakes? i mean how many times doctors misdiagnosed ? if we can have a % accurate machine to diagnose us wouldn't it be better?,0,0.896743893623352,
19,Wouldn't it be better if we could have a machine that could accurately diagnose us?,0,0.896743893623352,
20,Wouldn't it be better if we could use a machine to diagnose us instead of a human?,0,0.896743893623352,
21,Wouldn't it be better if a machine could diagnose us better than a human?,0,0.896743893623352,
22,Wouldn't it be better if a machine could diagnose us better than a human could?,0,0.896743893623352,
23,Wouldn't it be better if we could use a machine to diagnose us?,0,0.896743893623352,
24,wo s to this h makar cap in mot tasha hate spite gear se ku home ja rare ho sir s such band war did exercise again..................,0,0.8627644578615824,
25,The band war did exercise again as a result of this h makar cap.,0,0.8627644578615824,
26,The band war did exercise again as a result of this h cap.,0,0.8627644578615824,
27,The band war did exercise again because of this h makar cap.,0,0.8627644578615824,
28,There was a band war and it did exercise again.,0,0.8627644578615824,
29,The band war did exercise again because of this cap.,0,0.8627644578615824,
30,"but ai is make by humans, if it can affect the survival of human then human can destroy ai in future.",0,0.891732931137085,
31,Human can destroy ai in the future if it can affect the survival of human.,0,0.891732931137085,
32,Humans can destroy ai in the future if it can affect the survival of humans.,0,0.891732931137085,
33,Humans can destroy ai in the future if it can affect survival.,0,0.891732931137085,
34,Humans can destroy ai in the future if it affects the survival of humans.,0,0.891732931137085,
35,Humans can destroy ai in the future if it can affect the survival of human.,0,0.891732931137085,
36,i don't think i ai will hate humans until or unless it's code with some kind of these...they don't have any emotion even towards themselves..,0,0.8938655257225037,
37,"I don't think I'll hate humans until it's code with some kind of these, they don't have any emotion towards themselves.",0,0.8938655257225037,
38,I don't think I'll hate humans until it's code with some kind of these and they don't have any emotion towards themselves.,0,0.8938655257225037,
39,I don't think I'll hate humans until it's code with some kind of these... they don't have any emotion towards themselves.,0,0.8938655257225037,
40,I don't think I will hate humans until it's code with some kind of these and they don't have any emotion towards themselves.,0,0.8938655257225037,
41,"I don't think I will hate humans until it's code with some kind of these, they don't have any emotion towards themselves.",0,0.8938655257225037,
42,nice sandeep,2,0.8915065377950668,
43,Nice sandeep.,2,0.8915065377950668,
44,Nice sandeep,2,0.8915065377950668,
45,The sandeep is nice.,2,0.8915065377950668,
46,Excellent sandeep.,2,0.8915065377950668,
47,Really nice sandeep.,2,0.8915065377950668,
48,ai will become very dangerous for humans in future we need to think about it,0,0.8977091312408447,
49,We need to think about ai in the future.,0,0.8977091312408447,
50,We need to think about how dangerous ai will be in the future.,0,0.8977091312408447,
51,We need to think about the dangers of ai in the future.,0,0.8977091312408447,
52,We need to think about how dangerous ai will be for humans in the future.,0,0.8977091312408447,
53,We need to think about it because it will become very dangerous for humans in the future.,0,0.8977091312408447,
54,best explanation sir,2,0.895399808883667,
55,"Sir, the best explanation.",2,0.895399808883667,
56,"Sir, the best explanation you can give.",2,0.895399808883667,
57,"Sir, the best explanation",2,0.895399808883667,
58,It was the best explanation sir.,2,0.895399808883667,
59,"Sir, the best explanation possible.",2,0.895399808883667,
60,ka bat had sir.. thank you yes perspective bane ke like.....,2,0.883628249168396,
61,"Thank you sir, ka bat had you.",2,0.883628249168396,
62,"Thank you for your perspective, ka bat had sir.",2,0.883628249168396,
63,"Thank you, sir, ka bat had you.",2,0.883628249168396,
64,"Thank you for the perspective, ka bat had sir.",2,0.883628249168396,
65,"Thank you very much sir, ka bat had you.",2,0.883628249168396,
66,you know what's crazy? thanks to edward sodden we have proves against the u.s.a. but you keep saying china is the bad gay.,0,0.8804037173589071,
67,"We have proved against the U.S.A., but you keep saying that China is the bad gay.",0,0.8804037173589071,
68,"We have proved against the U.S.A., but you keep saying that china is the bad gay.",0,0.8804037173589071,
69,"We have proves against the U.S.A., but you keep saying that China is the bad gay.",0,0.8804037173589071,
70,You keep saying that china is the bad gay.,0,0.8804037173589071,
71,"We have proved against the U.S.A., but you keep saying China is the bad gay.",0,0.8804037173589071,
72,"the correct topic, the age of demon possession in the end game... god bless you all friends. amen",2,0.894130527973175,
73,The age of demon possession in the end game is the correct topic.,2,0.894130527973175,
74,The correct topic is the age of demon possession in the end game.,2,0.894130527973175,
75,The age of demon possession is the correct topic.,2,0.894130527973175,
76,The age of demon possession in the end game is correct.,2,0.894130527973175,
77,"god bless you all friends, the correct topic is the age of demon possession in the end game.",2,0.894130527973175,
78,i wasn’t wrong when i watched i root and said this shit looks like our future guess i might see that future before i die,0,0.873804759979248,
79,"I was right when I said this shit looks like our future, I might see that future before I die.",0,0.873804759979248,
80,"I was correct when I said this shit looks like our future, I might see that future before I die.",0,0.873804759979248,
81,I said when I watched root I might see that future before I die.,0,0.873804759979248,
82,"I was right when I said that this shit looks like our future, I might see that future before I die.",0,0.873804759979248,
83,I was right when I said this shit looks like our future and that I might see it before I die.,0,0.873804759979248,
84,i am so glad that i am over the hill. i don't want to ve around to see much more of this.,2,0.8971952497959137,
85,I am happy that I am over the hill.,2,0.8971952497959137,
86,I am glad I am over the hill.,2,0.8971952497959137,
87,I am happy to be over the hill.,2,0.8971952497959137,
88,I am very happy that I am over the hill.,2,0.8971952497959137,
89,I am glad that I am over the hill.,2,0.8971952497959137,
90,"the happy ismail adverse please because garlic dewailly tire off a vigorous canada. mighty, nine mexican",2,0.899511307477951,
91,Please because garlic tire off a vigorous canada and the happy ismail adverse.,2,0.899511307477951,
92,"Please because garlic tire off a vigorous canada, the happy ismail adverse.",2,0.899511307477951,
93,Please because garlic tire off a vigorous Canada and the happy ismail adverse.,2,0.899511307477951,
94,Please because garlic tire off a vigorous Canada.,2,0.899511307477951,
95,Please because garlic tire off a vigorous canada.,2,0.899511307477951,
96,"yeah measure happiness in china. what use is all this ""innovation"" if at the end of the day it makes everyone miserable.",0,0.8991752465566,
97,"If at the end of the day it makes everyone miserable, what use is all this innovation?",0,0.8991752465566,
98,"If at the end of the day it makes everyone miserable, what use is this?",0,0.8991752465566,
99,"If at the end of the day it makes everyone miserable, what use is this innovation?",0,0.8991752465566,
100,"If at the end of the day it makes everyone miserable, what use is all this?",0,0.8991752465566,
101,"If it makes everyone miserable at the end of the day, what use is it?",0,0.8991752465566,
102,it’s a wonderful powerful tool== for the antichrist to use to control the world. what do you think?,2,0.8771293759346008,
103,It is a powerful tool that the antichrist can use to control the world.,2,0.8771293759346008,
104,It is a wonderful tool that the antichrist can use to control the world.,2,0.8771293759346008,
105,The antichrist can use it to control the world.,2,0.8771293759346008,
106,The antichrist uses it to control the world.,2,0.8771293759346008,
107,It is a powerful tool for the antichrist to use.,2,0.8771293759346008,
108,ai the monster humans created to destroy themselves,0,0.8989925980567932,
109,Humans were created to destroy themselves.,0,0.8989925980567932,
110,Humans created a monster to destroy themselves.,0,0.8989925980567932,
111,The monster humans created to destroy themselves.,0,0.8989925980567932,
112,The monster humans were created to destroy themselves.,0,0.8989925980567932,
113,Humans were made to destroy themselves.,0,0.8989925980567932,
114,"i'm not afraid of a.i., i'm afraid of the intention of a.i.s creator. they are the most dangerous.",0,0.8927231629689535,
115,"I'm not afraid of a.i., I'm afraid of the creator's intentions.",0,0.8927231629689535,
116,"I'm not afraid of a.i., I'm afraid of its creator.",0,0.8927231629689535,
117,"I'm not afraid of a.i., I'm afraid of their intentions.",0,0.8927231629689535,
118,They are the most dangerous and I'm not afraid of them.,0,0.8927231629689535,
119,I'm not afraid of a.i. but they are the most dangerous.,0,0.8927231629689535,
120,"with ai, you will be convicted of thought crimes even before you commit them.",0,0.8916287223498026,
121,You will be found guilty of thought crimes even before you commit them.,0,0.8916287223498026,
122,You will be convicted of thought crimes even before you commit them.,0,0.8916287223498026,
123,You will be guilty of thought crimes even before you commit them.,0,0.8916287223498026,
124,You will be convicted of thought crimes before you commit them.,0,0.8916287223498026,
125,You will be found guilty of thought crimes before you commit them.,0,0.8916287223498026,
126,mo gweat is such a brilliant egyptian mind and true wisdom.,2,0.8907030820846558,
127,A brilliant egyptian mind and true wisdom can be found in mo gweat.,2,0.8907030820846558,
128,A brilliant egyptian mind and true wisdom is what mo gweat is.,2,0.8907030820846558,
129,There is a brilliant egyptian mind and true wisdom in mo gweat.,2,0.8907030820846558,
130,mo gweat is a brilliant thinker.,2,0.8907030820846558,
131,Mo gweat is a brilliant thinker.,2,0.8907030820846558,
132,wonderful man. sad about his son. i don't think it's right to ask if his son could come back to life... that's kind of too painful a question.,0,0.8841376701990763,
133,I don't think it's right to ask if his son could come back to life.,0,0.8841376701990763,
134,I don't think it's appropriate to ask if his son could come back to life.,0,0.8841376701990763,
135,I don't think it's right to ask if his son can come back to life.,0,0.8841376701990763,
136,I don't think asking if his son could come back to life is right.,0,0.8841376701990763,
137,I don't think asking if his son could come back to life is appropriate.,0,0.8841376701990763,
138,"in short ai is bad, so let's hope the climate change will be cataclysm enough to prevent ai to thrive.",0,0.8947704633076986,
139,Let's hope the climate change will be enough to prevent ai from thriving.,0,0.8947704633076986,
140,Let's hope the climate change will be enough to stop ai from thriving.,0,0.8947704633076986,
141,Let's hope the climate change will prevent ai from thriving.,0,0.8947704633076986,
