,word,sentiment_label,confidence_pos,confidence_neg,confidence_neutral,confidence_highest
0,ki,negative,0.2553313672542572,0.7427354454994202,0.0019331962103024125,0.7427354454994202
1,mal,positive,0.6581224203109741,0.3356630206108093,0.006214586086571217,0.6581224203109741
2,welt,negative,0.13659001886844635,0.8570221066474915,0.0063878195360302925,0.8570221066474915
3,fragen,negative,0.32308265566825867,0.4568372368812561,0.22008016705513,0.4568372368812561
4,einfach,positive,0.9787078499794006,0.021139971911907196,0.0001521654485259205,0.9787078499794006
5,fuer,positive,0.9421302676200867,0.05752436816692352,0.00034540623892098665,0.9421302676200867
6,meinung,negative,0.2063862383365631,0.7569590210914612,0.0366547629237175,0.7569590210914612
7,werden,negative,0.084809809923172,0.9051432609558105,0.010046889074146748,0.9051432609558105
8,frage,negative,0.40199145674705505,0.5101304054260254,0.08787820488214493,0.5101304054260254
9,zuseh,negative,0.05110161006450653,0.9483900666236877,0.00050832744454965,0.9483900666236877
10,immer,positive,0.9699260592460632,0.029285766184329987,0.0007882490754127502,0.9699260592460632
11,ai,positive,0.9106706380844116,0.0888838917016983,0.0004453935835044831,0.9106706380844116
12,ja,negative,0.40385177731513977,0.5829839706420898,0.013164227828383446,0.5829839706420898
13,mehr,negative,0.07338941097259521,0.9248863458633423,0.0017242861213162541,0.9248863458633423
14,ueber,positive,0.8664215803146362,0.11044330149888992,0.023135099560022354,0.8664215803146362
15,vielleicht,negative,0.45884352922439575,0.5221574902534485,0.01899901032447815,0.5221574902534485
16,r,negative,0.19397427141666412,0.7033510804176331,0.10267465561628342,0.7033510804176331
17,wa,positive,0.9113034009933472,0.08779838681221008,0.0008982231956906617,0.9113034009933472
18,moeglich,positive,0.984312117099762,0.01553740631788969,0.00015041534788906574,0.984312117099762
19,krebs,negative,0.02001034840941429,0.9792486429214478,0.0007410789257846773,0.9792486429214478
20,programm,positive,0.8954582214355469,0.10395544022321701,0.0005864131962880492,0.8954582214355469
21,regression,negative,0.14856554567813873,0.8491868376731873,0.0022476695012301207,0.8491868376731873
22,ideal,positive,0.9910509586334229,0.00889711081981659,5.2023686293978244e-05,0.9910509586334229
23,mensch,positive,0.560321569442749,0.4230230450630188,0.01665530912578106,0.560321569442749
24,erschaffen,negative,0.011006730608642101,0.9888285994529724,0.00016464835789520293,0.9888285994529724
25,guck,positive,0.9693017601966858,0.030443083494901657,0.0002550989738665521,0.9693017601966858
26,terminator,positive,0.8978323936462402,0.10114704817533493,0.001020538853481412,0.8978323936462402
27,erklaeren,negative,0.43760550022125244,0.556325376033783,0.0060692294500768185,0.556325376033783
28,verbessern,negative,0.02365870773792267,0.9762061834335327,0.0001350591192021966,0.9762061834335327
29,technik,neutral,0.006218743044883013,0.014811759814620018,0.9789695739746094,0.9789695739746094
30,ganz,positive,0.9070866703987122,0.09210395067930222,0.0008093977812677622,0.9070866703987122
31,machen,positive,0.9105606079101562,0.08832989633083344,0.0011094483779743314,0.9105606079101562
32,bereit,positive,0.538898766040802,0.2955056428909302,0.16559557616710663,0.538898766040802
33,ende,negative,0.10487286001443863,0.8651595115661621,0.029967622831463814,0.8651595115661621
34,menge,positive,0.8856873512268066,0.11403820663690567,0.0002744347439147532,0.8856873512268066
35,bildbearbeitung,negative,0.08280623704195023,0.9123668074607849,0.004827030003070831,0.9123668074607849
36,foto,negative,0.06732002645730972,0.9314622282981873,0.0012177398893982172,0.9314622282981873
37,inverssuch,negative,0.03567732125520706,0.9573063254356384,0.007016430608928204,0.9573063254356384
38,iask,positive,0.7318100333213806,0.2638193964958191,0.004370532929897308,0.7318100333213806
39,wichtig,negative,0.06463177502155304,0.8905786871910095,0.04478951916098595,0.8905786871910095
40,which,positive,0.9649766087532043,0.03475764021277428,0.00026570065529085696,0.9649766087532043
41,egal,negative,0.020556919276714325,0.9791460037231445,0.0002970276982523501,0.9791460037231445
42,german,positive,0.718458354473114,0.27420756220817566,0.007334017660468817,0.718458354473114
43,reingefallen,negative,0.01008180994540453,0.9893918037414551,0.0005264398059807718,0.9893918037414551
44,behind,positive,0.9095642566680908,0.08953940123319626,0.0008963944856077433,0.9095642566680908
45,rindenfloh,positive,0.7212076187133789,0.25852838158607483,0.02026406303048134,0.7212076187133789
46,if,negative,0.11643223464488983,0.8829371929168701,0.0006306307041086257,0.8829371929168701
47,--,negative,0.126670241355896,0.8723633289337158,0.0009664081153459847,0.8723633289337158
48,swap,positive,0.901890218257904,0.09725697338581085,0.0008528336184099317,0.901890218257904
49,character,positive,0.9836692214012146,0.01616835966706276,0.00016237182717304677,0.9836692214012146
50,darauf,negative,0.26056429743766785,0.6722611784934998,0.0671745240688324,0.6722611784934998
51,informieren,positive,0.9460886120796204,0.050914715975522995,0.0029967452865093946,0.9460886120796204
52,does,negative,0.064580537378788,0.9349666833877563,0.0004527094424702227,0.9349666833877563
53,sprache,negative,0.09439670294523239,0.9043439626693726,0.0012592378770932555,0.9043439626693726
54,groe,positive,0.9573790431022644,0.04164116457104683,0.0009797965176403522,0.9573790431022644
55,te,positive,0.5736961364746094,0.4227762818336487,0.0035275728441774845,0.5736961364746094
56,krebsschad,negative,0.01569334976375103,0.9816677570343018,0.00263888668268919,0.9816677570343018
57,unser,positive,0.9303825497627258,0.06712275743484497,0.00249468837864697,0.9303825497627258
58,bestimmen,negative,0.11436203867197037,0.879244327545166,0.006393692456185818,0.879244327545166
59,schlimm,negative,0.002175479894503951,0.9977999329566956,2.4633907742099836e-05,0.9977999329566956
60,stets,positive,0.972815990447998,0.025638358667492867,0.0015456362161785364,0.972815990447998
61,dummheit,negative,0.0029586332384496927,0.9970068335533142,3.460843436187133e-05,0.9970068335533142
62,bzw,negative,0.1122853010892868,0.8798120021820068,0.007902683690190315,0.8798120021820068
63,regieren,negative,0.04779296740889549,0.9499478936195374,0.0022591552697122097,0.9499478936195374
64,moeglichst,positive,0.9810692667961121,0.018599390983581543,0.00033129294752143323,0.9810692667961121
65,deshalb,negative,0.12274441123008728,0.8622079491615295,0.015047645196318626,0.8622079491615295
66,sein,negative,0.34821435809135437,0.6188276410102844,0.03295798972249031,0.6188276410102844
67,wachsam,positive,0.9487517476081848,0.05065365880727768,0.0005945297889411449,0.9487517476081848
68,dank,positive,0.8572849035263062,0.10194762796163559,0.04076754301786423,0.8572849035263062
69,bedrohung,negative,0.005413649138063192,0.9943869113922119,0.00019946474640164524,0.9943869113922119
70,demokratien,negative,0.1016630306839943,0.8552818894386292,0.043055105954408646,0.8552818894386292
71,abschaetzen,negative,0.056374188512563705,0.9420594573020935,0.001566393650136888,0.9420594573020935
72,vieler,positive,0.706982433795929,0.28615617752075195,0.006861384958028793,0.706982433795929
73,teilen,positive,0.8837580680847168,0.1125214546918869,0.0037203929387032986,0.8837580680847168
74,nutzen,positive,0.8786125779151917,0.11995487660169601,0.0014325144002214074,0.8786125779151917
75,noetig,negative,0.01748395897448063,0.9818276762962341,0.0006883158930577338,0.9818276762962341
76,verfall,negative,0.005997605621814728,0.9939122200012207,9.012259397422895e-05,0.9939122200012207
77,demokrati,negative,0.41616156697273254,0.5648631453514099,0.01897529698908329,0.5648631453514099
78,verhinder,negative,0.06704223155975342,0.9312117695808411,0.0017459795344620943,0.9312117695808411
79,antwort,negative,0.46053123474121094,0.47444313764572144,0.06502562761306763,0.47444313764572144
80,breit,negative,0.21716740727424622,0.7553696632385254,0.027462905272841454,0.7553696632385254
81,wirklichkeiten,positive,0.8702423572540283,0.11980240792036057,0.00995524600148201,0.8702423572540283
82,person,positive,0.809086799621582,0.19083227217197418,8.0937534221448e-05,0.809086799621582
83,bedrohern,negative,0.010692790150642395,0.9888012409210205,0.0005059593822807074,0.9888012409210205
84,word,negative,0.033622294664382935,0.9660689830780029,0.0003087746154051274,0.9660689830780029
85,dienen,positive,0.6324042677879333,0.3637681007385254,0.0038276389241218567,0.6324042677879333
86,leistung,positive,0.9341563582420349,0.06083754077553749,0.005006104242056608,0.9341563582420349
87,erlauben,negative,0.08261738717556,0.9131695032119751,0.004213158972561359,0.9131695032119751
88,such,positive,0.9273031949996948,0.07178668677806854,0.0009100645547732711,0.9273031949996948
89,jedenfalls,positive,0.7829081416130066,0.200225368142128,0.016866493970155716,0.7829081416130066
90,duerfen,negative,0.023174194619059563,0.9762247204780579,0.0006011042860336602,0.9762247204780579
91,tatenlos,negative,0.018170839175581932,0.9786418676376343,0.003187287598848343,0.9786418676376343
92,erkennen,negative,0.07235506176948547,0.9215061664581299,0.006138794124126434,0.9215061664581299
93,dabei,neutral,0.006858358159661293,0.018865827471017838,0.9742757678031921,0.9742757678031921
94,daran,negative,0.4853973984718323,0.49737662076950073,0.017226003110408783,0.49737662076950073
95,jahrhundert,neutral,0.006607396528124809,0.014672521501779556,0.9787200689315796,0.9787200689315796
96,intelligenz,positive,0.8149936199188232,0.13081960380077362,0.054186709225177765,0.8149936199188232
97,schaffen,positive,0.49599379301071167,0.4476482570171356,0.05635794252157211,0.49599379301071167
98,inflationaer,negative,0.31148919463157654,0.6758031845092773,0.012707626447081566,0.6758031845092773
99,begriff,negative,0.08679554611444473,0.8976695537567139,0.01553494855761528,0.8976695537567139
100,umhergeworfen,negative,0.004372189752757549,0.9954100251197815,0.0002177113201469183,0.9954100251197815
101,hide,negative,0.247178316116333,0.7493885159492493,0.0034331779461354017,0.7493885159492493
102,lich,negative,0.32795241475105286,0.6545078158378601,0.01753978617489338,0.6545078158378601
103,differenzieren,negative,0.17412324249744415,0.515927791595459,0.30994898080825806,0.515927791595459
104,kuenstlich,positive,0.9137653708457947,0.07739458233118057,0.008840066380798817,0.9137653708457947
105,besonders,positive,0.9739927649497986,0.025257840752601624,0.0007493997691199183,0.9739927649497986
106,ab,negative,0.03297460824251175,0.965107798576355,0.0019174925982952118,0.965107798576355
107,modell,negative,0.3504907786846161,0.5544412732124329,0.09506789594888687,0.5544412732124329
108,abgrenzung,negative,0.23662009835243225,0.698714554309845,0.06466540694236755,0.698714554309845
109,deep,negative,0.4205402433872223,0.5551797747612,0.024279985576868057,0.5551797747612
110,ziel,positive,0.5824148058891296,0.3692712187767029,0.04831398278474808,0.5824148058891296
111,beschreibung,negative,0.10575877875089645,0.8936793804168701,0.0005618543946184218,0.8936793804168701
112,i,positive,0.9477491974830627,0.051881395280361176,0.0003693105245474726,0.9477491974830627
113,d,negative,0.09902776777744293,0.8995615839958191,0.0014105649897828698,0.8995615839958191
114,netz,positive,0.9034794569015503,0.09531289339065552,0.0012077046558260918,0.9034794569015503
115,neuronal,positive,0.9678205847740173,0.0318387933075428,0.0003405657771509141,0.9678205847740173
116,sogenannter,positive,0.540325939655304,0.45638975501060486,0.003284253878518939,0.540325939655304
117,learning,positive,0.7823137044906616,0.20211383700370789,0.015572482720017433,0.7823137044906616
118,leihenhaft,positive,0.9396641254425049,0.05777463689446449,0.0025612760800868273,0.9396641254425049
119,begrifflichkeien,negative,0.021901944652199745,0.9772766828536987,0.0008213158580474555,0.9772766828536987
120,achten,negative,0.07205233722925186,0.9262339472770691,0.0017137231770902872,0.9262339472770691
121,beitrag,negative,0.06399042159318924,0.8297299742698669,0.10627962648868561,0.8297299742698669
122,generativ,negative,0.005649336613714695,0.9941979646682739,0.0001526334381196648,0.9941979646682739
123,bereich,positive,0.9149443507194519,0.08326965570449829,0.0017860644729807973,0.9149443507194519
124,schon,positive,0.9287213683128357,0.07055686414241791,0.0007217265083454549,0.9287213683128357
125,bereitgestellt,positive,0.9213186502456665,0.05495481565594673,0.023726480081677437,0.9213186502456665
126,form,negative,0.18202131986618042,0.8034854531288147,0.014493286609649658,0.8034854531288147
127,bezug,negative,0.3059048354625702,0.5823543667793274,0.11174082010984421,0.5823543667793274
128,arte,negative,0.3566570281982422,0.6217691898345947,0.021573800593614578,0.6217691898345947
129,video,negative,0.04986903443932533,0.949106752872467,0.0010241811396554112,0.949106752872467
130,information,positive,0.9656994342803955,0.03343190252780914,0.0008687299559824169,0.9656994342803955
131,insbesondere,negative,0.24567243456840515,0.7239421606063843,0.030385416001081467,0.7239421606063843
132,simple,positive,0.9778357148170471,0.022006506100296974,0.00015778328815940768,0.9778357148170471
133,stellen,negative,0.12380986660718918,0.8708809018135071,0.0053092543967068195,0.8708809018135071
134,linear,negative,0.036421604454517365,0.963053286075592,0.0005251183756627142,0.963053286075592
135,medien,negative,0.04310033097863197,0.9242036938667297,0.03269587457180023,0.9242036938667297
136,gefaehrlich,positive,0.974413275718689,0.025148717686533928,0.0004380547907203436,0.974413275718689
137,beitraeg,negative,0.05755509436130524,0.9274669885635376,0.014977888204157352,0.9274669885635376
138,generell,negative,0.1002509668469429,0.8989076614379883,0.0008414481999352574,0.8989076614379883
139,einsetzen,negative,0.08467453718185425,0.9136874079704285,0.0016380245797336102,0.9136874079704285
140,genau,positive,0.9880148768424988,0.011902456171810627,8.265515498351306e-05,0.9880148768424988
141,koennt,negative,0.02639755979180336,0.9733251929283142,0.00027717245393432677,0.9733251929283142
142,allgemein,negative,0.10547208040952682,0.8942325711250305,0.00029543560231104493,0.8942325711250305
143,bildung,negative,0.07182900607585907,0.9226772785186768,0.005493806209415197,0.9226772785186768
144,s,negative,0.04819351062178612,0.9513697624206543,0.0004367128130979836,0.9513697624206543
145,anstatt,negative,0.03648928552865982,0.9572690725326538,0.0062416628934443,0.9572690725326538
146,art,negative,0.38761967420578003,0.5990347266197205,0.013345633633434772,0.5990347266197205
147,zukunft,positive,0.6772910952568054,0.2477201372385025,0.0749887004494667,0.6772910952568054
148,genauso,negative,0.14391808211803436,0.7975704669952393,0.058511484414339066,0.7975704669952393
149,tun,positive,0.8790772557258606,0.11961028724908829,0.0013124889228492975,0.8790772557258606
150,heute,neutral,0.004112365189939737,0.012250558473169804,0.9836370348930359,0.9836370348930359
151,entwickeln,negative,0.44255486130714417,0.537470281124115,0.019974909722805023,0.537470281124115
152,schlie,negative,0.1121358647942543,0.8822886347770691,0.0055755493231117725,0.8822886347770691
153,urploetzlich,positive,0.9792471528053284,0.02057621069252491,0.00017664629558566958,0.9792471528053284
154,schlecht,negative,0.0015245825052261353,0.9984536170959473,2.173900793422945e-05,0.9984536170959473
155,konkurrenz,positive,0.5678876042366028,0.3761325776576996,0.05597979575395584,0.5678876042366028
