Unnamed: 0,Comment,Label,Score
7,"you guns all make great points, crying online wont help. people have to go and put their law makers in check and stop electing douchebags.",0,0.895451009273529
29,in more afraid of democrats than i am of some human created ai..,0,0.8654658993085226
47,"now! this ai is great at firing out ai and other quota like questions, we are doomed! please ask yourself why these people are trying to frighten you and remember the patriot act or look it up.",0,0.8823880751927694
73,% the doom of humanity... just as the bible states in joel and revelation :-... its unstoppable because no matter how much they want to control the ai .every country's military is going non stop to destroy life with ai.. especially the us military dark... the human heart is desperately wicked... that's all you need to understand the end!,0,0.8765922784805298
112,"we are getting very close to the time the great depression started years ago, ending around the was. i think it's about to happen again with these jobs being taken away",0,0.8990600109100342
149,"well, the other problem with creative ai is you cannot copyright any of it's generate content.",0,0.8996331840753555
264,"as a paralegal, i'm glad i'm working for the government cause this shit is donna drive down wages and cost jobs admittedly, that lawyer may have singlehanded killed ai in the legal industry. we'll see how it goes",0,0.8623787562052408
324,"good stuff! another youtuber named hosanna passing just tried making a cake using a recipe generate by ai... it turned out horribly, as she fought her urge to change things up that she knew weren't going to work properly, realizing that most people wouldn't know it wasn't going to work.",2,0.8967933058738708
331,would it be that bad if ai could replace some jobs were human make a lot of mistakes? i mean how many times doctors misdiagnosed ? if we can have a % accurate machine to diagnose us wouldn't it be better?,0,0.896743893623352
335,i recall the one on twitter a few years back.... the humans were successful in making it awful,0,0.8989974111318588
407,we are developing ours deaths that is ai human whole species will be vanished after full development of robotics and ai,0,0.8718128800392151
438,: it's totally wrong can ai doesn't have emotions they can't understand others or give empty when someone is having mental or psychological problems only human therapist can ! but definitely ai can help store information in past as its very helpful to both patients and therapist,0,0.8940359155337015
469,wo s to this h makar cap in mot tasha hate spite gear se ku home ja rare ho sir s such band war did exercise again..................,0,0.8627644578615824
484,"but ai is make by humans, if it can affect the survival of human then human can destroy ai in future.",0,0.891732931137085
487,i don't think i ai will hate humans until or unless it's code with some kind of these...they don't have any emotion even towards themselves..,0,0.8938655257225037
503,nice sandeep,2,0.8915065377950668
505,ai can't give a child birth nor death.,0,0.8802052934964498
538,human can build ai but ai cannot build human.,0,0.893349900841713
595,he is the fattest human brain,0,0.8941017587979635
619,what is the biggest threat of ai.. that is it will take our jobs.. if ai takes our jobs what will happen.. we won't be able to fulfill our necessities food water and shelter. so what i feel is that basic fear is the fear of survival.,0,0.8945133884747823
620,"i am shocked , this is harsh reality of ai",0,0.8622325658798218
632,ai will become very dangerous for humans in future we need to think about it,0,0.8977091312408447
681,best explanation sir,2,0.895399808883667
693,ka bat had sir.. thank you yes perspective bane ke like.....,2,0.883628249168396
695,"-humans can create a.i but a.i cannot create humans, a.i cannot love like mother, a.i cannot, a.i will not think when we are alone a.i cannot think without commanding to it sorry if i am wrong",0,0.8878963788350424
745,ai humans i line wall had such salt me,0,0.8421003619829813
832,you know what's crazy? thanks to edward sodden we have proves against the u.s.a. but you keep saying china is the bad gay.,0,0.8804037173589071
836,"people are worried we'll starve because, roots will be hired over humans.",0,0.8898950815200806
839,"when the truck drivers lose jobs to machines, wont the destroy the economy?",0,0.8948290646076202
1002,"without fail, give a female a microphone, and she immediately starts complaining",0,0.8759311238924662
1004,"the correct topic, the age of demon possession in the end game... god bless you all friends. amen",2,0.894130527973175
1010,i wasn’t wrong when i watched i root and said this shit looks like our future guess i might see that future before i die,0,0.873804759979248
1098,i am so glad that i am over the hill. i don't want to ve around to see much more of this.,2,0.8971952497959137
1122,"the happy ismail adverse please because garlic dewailly tire off a vigorous canada. mighty, nine mexican",2,0.899511307477951
1158,"yeah measure happiness in china. what use is all this ""innovation"" if at the end of the day it makes everyone miserable.",0,0.8991752465566
1216,intelligence without feelings emotions will hit hard to humanity to bleed.,0,0.8993676503499349
1253,it’s a wonderful powerful tool== for the antichrist to use to control the world. what do you think?,2,0.8771293759346008
1324,ai the monster humans created to destroy themselves,0,0.8989925980567932
1332,that's super scar!(the amount of information that china has on it's people),0,0.8475433389345804
1341,"i'm not afraid of a.i., i'm afraid of the intention of a.i.s creator. they are the most dangerous.",0,0.8927231629689535
1342,muslin first jailed by the millions in china!! you are next!,0,0.8950827121734619
1346,this is pure evil ...a.i . no thanks china keep your demon,0,0.8900125175714493
1359,farming never raise more animals than you need.,0,0.8907967011133829
