Timestamp,Username,VideoID,Comment,Date
2024-05-30T00:41:44Z,@whalingwithishmael7751,qrvK_KuIeJk,Path that guarantees safety = stop developing them,2024-05-30T00:41:44Z
2024-05-27T05:33:50Z,@flash521,qrvK_KuIeJk,This was all amazing foreseen by a satirist when he wrote the book Player Piano. A great read. Wish it was a well made movie.,2024-05-27T05:33:50Z
2024-05-27T00:41:47Z,@bobcaddock3264,qrvK_KuIeJk,"""I can't see a path that guarantees safety"".  The guy has a smile on his face as he says this.   Are we nuts or just prideful.",2024-05-27T00:41:47Z
2024-05-26T16:13:41Z,@JOANNEGAILJOHNSON,qrvK_KuIeJk,"""For sale: Baby shoes. Never worn."" is attributed to Ernest Hemingway. It is said to be based on a May 16, 1910, article from The Spokane Press that recounts an earlier advertisement that struck the author as particularly tragic. So.....?? hmm",2024-05-26T16:13:41Z
2024-05-25T20:28:50Z,@MichaelYouTuber,qrvK_KuIeJk,Stop it now.,2024-05-25T20:28:50Z
2024-05-25T18:56:14Z,@ApPillon,qrvK_KuIeJk,"Damn, we are doomed, it's not looking good.",2024-05-25T18:56:14Z
2024-05-25T12:18:58Z,@Natalia-qz7uv,qrvK_KuIeJk,"Yes, AL is smarter than us, I work with GPT chat every day, it helps me a lot, and I always want to say: “OMG, how stupid I am.”",2024-05-25T12:18:58Z
2024-05-24T02:32:55Z,@stuart_and_co,qrvK_KuIeJk,The six word story discussed here was not written by artificial intelligence it was written by Ernest Hemingway it is one of his short stories.  It’s his shortest short story.,2024-05-24T02:32:55Z
2024-05-23T17:42:34Z,@peter-ek3uh,qrvK_KuIeJk,We are going up to the mountain to ask VAL if we can take a vacation!,2024-05-23T17:42:34Z
2024-05-21T15:55:27Z,@curtisgrindahl446,qrvK_KuIeJk,Chilling!,2024-05-21T15:55:27Z
2024-05-21T03:37:59Z,@MarsorryIckuatuna,qrvK_KuIeJk,"What Mr Hinton is saying, is outlined in great detail in the book The Next Wave. It’s uncanny how similar the warnings are - it’s like we’re at a crossroads where we need to take a decision. We’re not listening 😢",2024-05-21T03:37:59Z
2024-05-20T14:32:08Z,@alessandroperigo6731,qrvK_KuIeJk,no final dessa historia: a santa ceia das IAs !...E ai um artista dessa época ira pintar digitalmente retratando o momento da conquista.,2024-05-20T14:32:53Z
2024-05-20T10:47:52Z,@maddieimdead666,qrvK_KuIeJk,"🚨🚨🚨They ((the goverments of the whole world)) NEED to listen to this man. They need to take warning as he is saying it loud & clear,,they do understand they will become smarter then us,, and i for one do not want them crazy army ""dog"" robot things chasing after anyone of us when the police decide to use them on the streets! Good luck everyone i feel we need it!!!!! ⚠️⚠️⚠️",2024-05-20T10:47:52Z
2024-05-19T01:21:20Z,@jimbroadbent5664,qrvK_KuIeJk,"“They might take over “  I don’t know about the machines taking over but clearly the British have taken over…..taken over Google , taken over the narrative , taken over 13 minutes of my life …… if the machines do takeover, it is due to these lads …….the Google AI chatbot is named “Bard” ? Psssst get outta here….Jeezaloueez",2024-05-19T01:21:20Z
2024-05-17T03:39:25Z,@urwrstntmre,qrvK_KuIeJk,Why would we want to even potentially create something that could become more powerful than us?,2024-05-17T03:39:25Z
2024-05-16T02:27:48Z,@blindeagle6842,qrvK_KuIeJk,"There is ItsRawHell that doesn't give a damn about others, amongst others.",2024-05-16T02:27:48Z
2024-05-15T13:34:13Z,@NikhilSwamiExperimental,qrvK_KuIeJk,He is a visionary,2024-05-15T13:34:13Z
2024-05-14T14:14:35Z,@mutopz,qrvK_KuIeJk,Why would AI want to take over he asks? Has he not watched Terminator?,2024-05-14T14:14:35Z
2024-05-12T21:12:31Z,@frankstone3809,qrvK_KuIeJk,If we have an intelligents😅 greater than ours than we won't make any more mistakes right?,2024-05-12T21:12:31Z
2024-05-07T00:10:30Z,@bondlevee,qrvK_KuIeJk,He just open a pandoras box,2024-05-07T00:10:30Z
2024-05-06T16:23:16Z,@SomeDude74590,qrvK_KuIeJk,"Waste of resources, how... According to the vision of a computer and or human. Why would non of them hold any error?",2024-05-06T16:23:16Z
2024-05-06T16:20:30Z,@SomeDude74590,qrvK_KuIeJk,"There are human matters that leave the body, also smoking heavily stains walls, repainting is good thing to consider every few years. But I am done with it now. Need to change the place and environment.",2024-05-06T16:20:30Z
2024-05-05T22:51:15Z,@sunshinedesigns9303,qrvK_KuIeJk,"The ai was told to score but it wasn't fully programmed in a way to achieve that task right away. All in all, the ai was doing what it could to learn how to successfully carry out the task thats in their system. So if you  give it the instruction to necer harm a human, it will learn how to achieve that task successfully.

Right?



So then our fear shouldn't be of ai but those hunans giving the instructions within their programming",2024-05-05T22:52:43Z
2024-05-05T21:18:27Z,@juanvaladez5703,qrvK_KuIeJk,Lies lies lies. Don't believe the AI hype.,2024-05-05T21:18:27Z
2024-05-05T04:48:52Z,@AlejandroPerales-hv6qq,qrvK_KuIeJk,"""*s 10:55 s 11:19 omeone people humankind species where did the get intelligent? we was exploring humankind bain Albert Einstein E=MC² i mast proton Ai Artificial cyborg or program and protect US humankind where thier binary code pick up Aliens demons and learmed from the himankind species the power came from the uncoded Exodus 10 commandments facts from sun solar system they or using technology brain intelligence out atmosphere>©®™✓ΩΠμ>EPH1:1*""",2024-05-05T04:50:12Z
2024-05-04T19:52:26Z,@akshath9667,qrvK_KuIeJk,The Age of Ultron?,2024-05-04T19:52:26Z
2024-05-04T12:41:34Z,@sleepyjoebiden2756,qrvK_KuIeJk,"I asked Joe Biden AI to write this comment. ""Come on man!  I'm not doing it"". Look, I can't write like Joe Biden. I have to find Hunter Biden's stash first.""",2024-05-04T12:42:57Z
2024-05-03T19:54:57Z,@coachandi2292,qrvK_KuIeJk,Dr. Evil,2024-05-03T19:54:57Z
2024-05-03T17:41:08Z,@user-wt6wv7xd2t,qrvK_KuIeJk,it will manipulate people against each other...and will hypnotize everyone to self-destruct. dangerous techmology.,2024-05-03T17:41:08Z
2024-05-03T11:14:08Z,@WaleedHiggins,qrvK_KuIeJk,"Watching these AI documentaries, I keep glancing nervously at the publication date. (Corrected by Grammarly)",2024-05-03T11:14:08Z
2024-05-03T08:26:08Z,@RoslynDeloatch,qrvK_KuIeJk,Takeaways for quick navigation,2024-05-03T08:26:08Z
2024-05-01T18:15:13Z,@hassanabbe6791,qrvK_KuIeJk,"google bard won't WRITE a thing about the zionist genocide against Palestinians and here is the prove 
write an essai about the genocide ongoing in Gaza by the israeli


Show drafts

If you'd like up-to-date information, try using Google Search.",2024-05-01T18:15:13Z
2024-05-01T05:45:21Z,@Raffygunggong,qrvK_KuIeJk,"There is NO European or American can do this kind of projects and now the AI were dominate in the future after the disappearance of the Dynasour the Human will next in line. imagine the robots can memorise the entire google in 5 minute's or trillion tough and words .
There is 2 options human to exist all  project must be  destroy 
Or create a world war 3 to interfere and forgot this AI Devil projects.
We cannot turn it off because they can manage there own they can easily get the password on the nuclear facility fly all the war planes even there is no pilot.
There most scary they can project the nuclear arsenal even there is no one push the red bottom. We all die and return to the ashes but those robots they will live for ever so there in no way someone will carry our genetics to start again a new life.  So we call it in Philippines katangahan and sakim 🇵🇭",2024-05-01T05:45:21Z
2024-05-01T00:09:18Z,@Happyduderawr,qrvK_KuIeJk,"I am an average data scientist and in my opinion, Geoffrey Hinton is delusional.",2024-05-01T00:09:18Z
