,Comment
0,join ai course: https://academy.dhruvrathee.com/chatgpt learn harness power chatgpt effectively transform life! use coupon code: take41 41% discount! hurry up! offer valid first 1000 people
6,ane lawe aaj se 2-3 years chat gpt kya kar sakte hai? chat gpt pe ek video banaye sir
9,sir want change vlog english language possible please help make video best luck
10,kaif
14,good information bro
16,sir ai par aurr video bnao
17,want videos ai
18,ai ulseritiv colatice ibd ka ilaz ku nhi karta
19,please continue keep issuing videos ai thanks.
27,modi g ne pehle hi bol diya tha pakodda bechna padega yahi bhawisya ka job hai ai aane ke baad
30,love dhrub bhai
37,thank
38,apko itna sare information kaise miltahe
40,trying pay bangladesh could not. wanted join academy master chatgpt course. please help join.
41,brooo make mystery kailash parvat please
44,"sir, aapane kaha ki bhoot jaisee koee cheez nahi hota. lekin maine is- (bapi paranormal) channel mein bhoot aur bhagwan dekha hai"
46,hi sir abhi coupon code kya available he?
47,ai dangerous
49,आप के द्वारा दि हुई जानकारी बहुत सटीक लगती है good job लगे रहो भाई
53,videos ai pls
54,closing eyes trust tis man great sir
56,allah aapko salamat rakhe tandurust rakhe bhai
58,thank dr
59,kaun april 2024 dekh raha hai
61,bhai apne team ko video lao
62,sir plz make videos teach watch first video good person
67,love
68,aap jaisa super hero ko salute karta hoon
71,"hi dear bro, im rohingya refugee camp bangladesh i'm big supporter please make video us prosecuted myanmar government. please highlight issues. thank trust."
72,bahai elevation con jeet raha ha ye bata aap pe visvas hota ha information pe
73,videos ai topics..
75,"elon musk asking pause, ai team catch-up."
76,jarur banaye bahai jan
78,good & informative channel artificial intelligence.
79,providing artificial intelligence based services valuable clients world.
80,आप बहुत सही सच ai की जानकारी दी है
83,ai course fee 5400
85,isaka use karake ek khash issue ke solution ke lie political party kaise banai ja sakati hai.
86,dhru rathee sir mai ye video 10 mahine ke bad dekh raha hu kya mai aapka course join kar sakta hu
90,hasimpura kand 1987 par bhi ek video banao bhai
93,knowledgeable video hai magar bht bura impact padne vala hai dunia vinash ki kgar p khadi h
100,i'm afraid whether videos see original
102,ai needs stop!
103,good bro
104,sb official ai sx
107,great person
110,dhuruv bhai course bohot costly hai mera hisab se
111,aik video future ai pr honi chahye .
112,@dhruv rathi best youtuber honest person
115,hello bhaiya make video indian workers work gcc country mainly kuwait many indians suffering kuwait humanity many indians die news coming public kuwait government helping people safe working please make video thank bhai
117,hi sir i'm graphic designer kya humlogo ka job khatam ho jayega please explain
118,vai aap ka what's app channel kuchh problem ho raha hain video nehi dekha raha kal se jara thik karo use
121,bahot half full hai
125,"sir, please make truth nagaland thank"
131,vow ai much power !!!?? superb...thnx @dhruv sharing infmn...jsk sd usa
136,main
138,bhai please ek video online betting site betting apps add karne wale youtuber kitno ko barbaad karrehe
141,dhruv rathee best
142,wow great
144,fantastic video
145,ai artificial intelligence 2001 directed steven spielberg. ye film sabko dekhne chahiye jise bhi ai mei interest hai! brilliant
147,extraordinary.
153,"called web scrapper ""ai bot"""
155,"""as ai can't this"""
156,ai ko human ne hi banaya hai nd think jb ai itna intelligent hai usko bnane wala kitna hoga.....
158,"accident took place 19th may (sunday) midnight kalyani nagar, pune. please make video regarding incident. big big request. greatful support getting justice innocents."
159,"anyone pune knowing incident took place kalyani nagar, please come request dhruv bhai make detailed video get every individual aware this."
160,video would reach subscribers various states speed. need justice. big request dhruv bhai.
161,"please dhruv bhai, want justice innocents incident kalyani nagar pune. rahul gandhi made video incodent too."
162,"hi dhruv bhai please pune mein huae kalyani nagar accident per video banao...some politicians coming regarding incident, even deputy cm"
167,aap kabhi sparta ke sainik ke upar bhi video banao
168,"sar hamara aadivasi ka oil ko review dijiye sar aapse ham contact karna hai, please sir replay."
170,kripya main aapko fan number
171,lekin ai jo robot hai duniya khatm kar denge
172,dhirubhai ai photo editing theek hai
174,nice
175,dhruv bhai please west bengal ka lia bhi kuch bol uska polity k lia
177,momota ke ok video banaia
179,vary nice
180,"thank sir. sir, please ethical effects ai ke baare ek video banaaiye na please. thank again."
182,"yes , dhruv bhai , thank highly educative video . please , keep us informed videos . thank god bless ."
183,tujhe kuch din sahi samjha par tu sample hai.. tumhare type influencer bhut ghum rhe.. tujhara data sahi nahi h
185,best
187,"inke webiner ke lia koi paisa na de kahe ki inone paise milne ke bad aur kuchh nahi bolte , mere sath ahi hua"
188,sir thank
189,aaj ai bjp ki hi le rha waise achha hai.. lisence v ek anpadh pm ne hi na diya tha.. bjp waalo tumhari amma bhen ho rhi fir v nhi maan rhe ho..
191,bhai mind bloing
192,best youtuber 20m subscribe..... conguration dhruv rathe...
193,kon kon aaj dekh raha hain?
202,good
205,ai danger humans made it. ai ka naam barbaad kar rakha hai
206,thank
207,dhur bhaiii love bottom heart....dhruv bhaii hum chahte hai aap ye dream11 jaisi apps ka sach bataye....kyunki humne aaj tak dream11 se bane hue karodpati ko nahi dekha.....iska sach kya hai...plz bataye
209,tumhara shaadi hua hai kya
210,bano bhai
211,intelligence artificial bad distroyd world damaging brain kids
212,congratulations 20m subscribers
213,bhai kya hua tha dealer
214,dangerous ai chartgps
215,train+scp 1566
217,bhai bhoot problem hu please help kardo
218,dont like technology grow fast disappointed see ai developing
219,nice information
220,nice speech bro
221,good bhai
222,"maine buy kr liya hai course, kisi ko chahiye btana?"
223,dhruv rathi sar yah video sab humko bahut achcha lagta hai
224,"sir, ai use translate words french language?"
226,love bro
228,bahiya mai aapki sari videos dekhta hun
231,aap itna hi acche aadami hote hain kisi course ka charge kyon mangte paise kyon mangte hain free mein sikhate aapke pass paise kami hai kya
232,ye ravan movie ka new version hai
234,wonderful narration
235,apak ki kuch acche vdo dekh ke agar 20m subscription ho sakte hai kuch ache kam ke lita pm v jit sakti hai. aur haa main v apka subcriber hoon pahele se.
236,good vdo earn.extra lot money may owner. another persons may ready short time.
238,happy 20 million
239,congratulations 20 million subscribers dhruv rathhe 2 month 5 million subscribers gain kiye hai that's pawer education
240,explain happened ramayana
241,hello sir video aapko gaali diya hai
242,"ai revolution unstoppable hoping great things it, always optimistic science !!"
244,bhaiya ji iska prince bahut itna ham nahi de payenge
246,sir ye bidhuri rishabh kya video bna rha h bhut confusion ho rha h sir. pr ek short bnaiye sir plz
247,sir video chahiye topic baki mai course krna chahta hu thoda mehnga hai
249,padhai cheating krna*
251,dhruv rathi bhai mera favourite youtuber hai agar aapka bhi hai favourite like karen
253,video ai
255,ai satan's mind.
256,intrested learn ai
257,"5499 ,spne ko todhna pad jata hai"
266,good
270,jaan bai tu mari aapna khaal rakho plzz love aver
273,tq bhai
275,bhai humary pass itny pesy nhi hain phr kesy kren ye course
278,sir dessision making ai per vedio banay
279,thanks information really helpful
281,"2 lakh subscribes reach magic figure 2 crore subscribes wish best dhruv reach number june 4th , new government lead rahul gandhi sworn amen"
282,dhruv bhai vardaraj shetty k upar video banav. good topic
284,please make videos ai topic
287,excellent sir
288,maine aaj dekha ye video
296,per e hamare liya ak bara khatra hai
300,go sheare ke bare batao us kya frod kiya jta hai
302,aoa bai. love pakistan gilgitbaltistan. m. phil environmental sciences. listen videos like. stay blessed boos.
304,dhruv bhai u r great job bjp har parties ke kali karname ujagar karo.
308,rathee sir vivek bindra lakho garibo ka paisa khaya hai uske upar bhi video banaye...
313,ai k liye video banao sir
314,aag laga di bhai aapne
315,thanks!
317,nice sir
319,best
320,"ai create version religion able help every individual follower kind medium, financial even sending another believer another comforts , wow dangerous nuclear bomb"
322,india nahi toh shant rahe mumbai
325,follow intersting game
326,youtube jo bharatiya janta party ke ads dikha rahe hai acharsahgita ke bad bhi prachar ho rha youtube ke upar case kaise kare
329,knowledgeable video aap banate hai aap aur detail video banao
332,excellent videos pl speak slower pace. fast speak.
333,g baniya bhai plz
