,Comment,Label,Score
0,in sending blood girl red heels give money thanks love tom,2,0.9158439040184021
1,so good comments him tom,2,0.9714179784059525
2,oxcryou script cut wait til ai take get we anywhere loads squeaky gates annoying,0,0.9652982205152512
3,great now please select bicycle photo,2,0.9554251134395599
4,good luck mark,2,0.970823347568512
5,one lot chew on thank both,2,0.9358793695767721
6,full apathy future already meant plan business goals life goals financial planning every months tables turn again ai isn like nuclear bomb its captive virus eradicating every construct were built far humans,0,0.9529719551404318
7,world already toxic see last yes dumb people wants raise corporate ladder toxic association victimising smart intelligent people will ai toxic sort people,0,0.9555032253265381
8,jew black supremacist telling people kiss fearmongering machine learning cap,0,0.9466551840305328
9,climate change ll even geniuses ignorant look stupid topic outside field,0,0.9408713728189468
10,good conversation noticed released almost year ago! wonder much opinions may changed light recent breakthroughs,2,0.9293025881052017
11,global warming threat planet cold plants need carbon dioxide live ai also nonthreat sex babies start sounds like typical liberal propaganda,0,0.949523463845253
12,org gentleman blowing mind revealed wisdom never ever heard anyone entire life thank tom inviting wise fellow,2,0.9731851021448771
13,intelligence dangerous tool tempered wisdom morality,0,0.8764547109603882
14,ai survive without humans? seriously monsters created monster yet fail greed inadequacy natural world guy still wants mobile phone!,0,0.9596787691116333
15,nice interview,2,0.9599861651659012
16,ai evil bear earth planet that repeatedly saying government governing mind allies fallen angels evil spirits celestial regions,0,0.9317521333694458
17,real danger fact ai possessed demon spirit! and probably wouldn know possessed its late its already killed people destroyed things!!,0,0.9415944069623947
18,well say one amazing interviews give seen years eye opening sure!,2,0.9423472285270691
19,using lords name expletives response ai also less desirable negative quality,0,0.9534553488095602
20,man loves speak devise in sure ai picked pretty quick,2,0.9098654985427856
21,great conversation,2,0.9454972743988037
22,soon salad doomed anyway in afraid ai fact people wont care this,0,0.9272812157869339
23,everyone needs listen more severely harmed humans? never developed ethics morality intelligence birds brain,0,0.9683245867490768
24,probably utilize ai order destroy it,0,0.9425383061170578
25,extremely rewarding watch really appreciated way challenged matched mo perspective although competition definitely team tom one amazing thanks episode,2,0.9566536545753479
26,humans badly looking aliens abduct overtake us impatient ended creating alien ai become alien slave master adaugo sekhmet,0,0.9172166109085083
27,well done! lazy ones love kind talk,2,0.9830175836881002
28,well atlantic destroyed its self technology would thought would live time millionaires would push creation technology point destruction yet again! sigh,0,0.9466882467269897
29,serious question could ai survive apocalyptic natural disaster like corona mass election large extinction level method strike? seems like x level me would completely cry everything electricity,0,0.9380147904157639
30,min in humans constantly blamed climate crisis human induced climate change surely megaintelligent ai realizes this wipe us save planet !! ants killing planet indeed doomed,0,0.9173191547393799
31,man amazing,2,0.9603355228900909
32,beautiful soul yes goal a i,2,0.9651290774345398
33,illegal ai org jobs even minorities,0,0.933157483736674
34,well tom announced doom future see blow past reference statement act future! sorry tom curtains !,0,0.954498291015625
35,human going become stupid time ai packs sale,0,0.9362497687339782
36,that overgrown think military intervention already deployed assess certain risks highly mistaken yes revolutionary many jobs wonder hell donna happen mean would prefer roots handling certain tasks poor labour conditions in certain enterprises,0,0.9141705334186554
37,one thing destroying humanity humanity itself ai made humans ai kills humanity self inflicted humans ignorant totally stupid,0,0.9706225514411926
38,really love man nice brain heart mixture hope without nativity thank nice guests translate german language show us nice inspiration guests country need lot new thinkers big heart free speech ty,2,0.9688327759504318
39,nice podcast start day with twin daughters last year,2,0.9592281222343445
40,thought fact fear based podcast blows etc etc data ai learns from? hope humans literally cause devise fear wondering,0,0.9046170562505722
41,need return acknowledge fear love obey god word ak bible again sadly hate god disobey him selfdestruction dont need rely philosophy minimalism machines artificial tetanic means,0,0.9034290115038554
42,amazing podcast super interesting must watch !,2,0.9667070031166076
43,many people believe inneptitude handling species need give reigns ai that literally dumb if number choosing intentionally inert! with wrong people ai soon incredibly dangerous,0,0.9498512864112854
44,thank you,2,0.9106486558914184
45,tom lacks basic understanding created god really sad tries seem intelligent use gift intelligence getting know acknowledging one gave him,0,0.9362587332725525
46,imagine alphabet employees like flowed beautiful human being yeah right wish bad goose facebook wannabes like them biggest threat humanity ever enjoy,0,0.9490822752316793
47,people epic fail,0,0.9627159386873245
48,beautiful interview,2,0.9734584391117096
49,think us dangerous ai destruction force everywhere asia middle east ukraine next?,0,0.9245362132787704
50,nuclear catastrophe civil war super fly terrorist tsunamis earthquakes hurricane overpopulation pollution ai choose poison humans escape inevitability,0,0.9484168489774069
51,almost every hand ai fall wrong hand so screwed,0,0.9253359794616699
52,another scene ai took paris got free world avenues movie caused havoc intent destroy humanity,0,0.9539767354726791
53,think st iron man terrorist hired brain power build teach weapons mass destruction cave,0,0.9316737453142802
54,imagine much greater god compared us!,2,0.95498655239741
55,imagine jihadi ai who sole purpose turn every plane sky terrifying!,0,0.8975081890821457
56,watch moves created something capable killing us your supposed smart ones roots taking world? next,0,0.9376227657000223
57,amazing smarter now!,2,0.9487007617950439
58,plug electric power power earth least stop it destroy put power again ll,0,0.9381909370422363
59,ai multitude times smarter smartest human me its literally going able read minds once let sink in,2,0.9406168063481649
60,me shut up! ai infringing right free speech,0,0.9483055174350739
61,right brain hurts listening this in going base car bit,0,0.9491090327501297
62,ever since first started talking artificial intelligence knew would bring bad situation people use good people use evil people even know difference real face technology good thing also destroying countries,0,0.9095915198326111
63,absolutely excellent interview thank both,2,0.9582351088523865
64,sure ai intelligent guns awesome thank wonderful truly intelligent planet intelligent,2,0.9483093380928039
65,y overpopulation resists behind every corner ai please stop sky falling routine already,0,0.9379316369692484
66,love much,2,0.9682957381010056
67,title brainwashing actually humanity destroyed itself least stupid decisions people power happen anymore ai become independent,0,0.9384755849838257
68,seeing wall e movie coming true ai thinking humans humans become stupid first jobs less need education useless humans use but economy run without humans??,0,0.9147604256868362
69,thanks time mo well worth listen six bravo juliet,2,0.9811098128557205
70,bad thing ai fall hands bad people creates it that humanity worry ai all,0,0.9291059374809265
71,great interview,2,0.9689176827669144
72,stumbled upon podcasts hooked great topics depth conversations,2,0.9733105152845383
73,now c data scientist moving truly amazing! inspiring positive! optimistic full already see it!,2,0.9724286794662476
74,none is impressive everything guy speak sounds like bunch useless bullshi go make fire stare it that impressive,0,0.9491982261339823
75,bloody put parameter ai help humans you lie algorythm,0,0.9725180268287659
