,Comment,Label,Score
0,nice chairs.,2,0.9439900368452072
1,"oh man was this produced by the crabpeople, or do you even know what ai is and how it works?hata they even think they know his better than anybody else and give names to them. but yea: children will have no identity, ai will kill us all, and it will discover that earth isn flat....",0,0.9556852380434672
2,"starts out with a big fat lie. goose: no, 50% of ai researches don't believe there is a 10% risk that ai will kill us",0,0.9597727060317993
3,"now,,  that was a great talk",2,0.9606812357902527
4,people laughing when shown stuff like ai being okay with pedophilia is pretty disturbing.,0,0.9534502029418945
5,holy fuck this is amazing.,2,0.9695701003074646
6,"its not the artificial intelligence that worries me. it is the fact that a corrupt government can do just as they have with social media, command the developer and programme to work for them. now we will have a weaponized artificial intelligence. hacking and hemp weapons will be the only chance we have.",0,0.9329298257827758
7,the us and china are already designing ai swarm drone technologies for their respective militarist. humanity is doomed.,0,0.9403408020734787
8,the real purpose of ai is to prove that god creation is failure if ai apply in religious practice in industries no problem it's good!more than that?it to dangerous it can result into normal human extinction but god jesus not allow to that!,0,0.9524398048718771
9,ai is going to destroy us socially before it’s ever a physical threat.,0,0.9141344130039215
10,"impressive talk, thanks for sharing this",2,0.9535678386688232
11,they lost control of ai for good! all companies will rush to make as much money as possible! the singularity will happen very soon!,2,0.9142200549443563
12,"great presentation guns. thanks for this, it really opens the eyes and makes you think.",2,0.9608322739601135
13,"stop those idiot 
don’t make dumb mistakes again.
don't give roots free will.
you will cause the death of mankind.",0,0.9723080992698669
14,"superb presentation, folks: good job !!",2,0.9927040636539459
15,i delete my facebook account recently... because it now gives me nightmare! even it's founder looks like a root!,0,0.9719673842191696
16,china will collapse first from a lack of trust bc of ai.  russia will collapse next. only the us has a chance of not collapsing from ai and the lack of society trust in everything.,0,0.9254733324050903
17,"thank you for sharing, education is important on ai & continuous education. 

i hope you think about adding subtitles to reach the masses.",2,0.9409884661436081
18,god bless you !,2,0.9846168756484985
19,if ai has all the facts about children and sex and laws and it behaves as shown here then it is utterly reliable and useless,0,0.9225474447011948
20,i've thought for a while that technology is ruining the world. how fitting that it will totally ruin it.  everything i own sucks up or breaks so ai will too,0,0.9767263829708099
21,"airplane used as flying bombs, killer roots coming, guns used to kill animals for food now used to shoot people. so many technologies used against us. few built in fail safes.",0,0.927067776521047
22,ohhhhhh lord sooooooo spectacular,2,0.9831707179546356
23,"unfortunately, while we slow things down, china has the pedal to the metal.  we can't afford to slow down.",0,0.9412240982055664
24,"what really annoy me about this is the obvious unknowns and fear of where the future ai is heading, yet we are just tucking right along with it. everyone responsible for ai needs to come to a mutual agreement to stop.",0,0.9623806675275167
25,that's good!,2,0.9767412185668946
26,56:01 imagine running a panel on ai safety and henry “the forest jump of war crimes” kissing is there,0,0.9633554021517435
27,"man up to this point i was excited for neuralink, now i dont want anything teach related near my brain. and to be honest, i've always thought of social media as the biggest mistake (i'm <25) and it had a huge negative impact on my life. wish not everything was an arms race",0,0.9381581842899323
28,"to;dr ""we need to do what china is doing, and censor the public. keep this technology out of the hands of the people. use ai to perpetuate governmental systems of oppression."" fuck goose",0,0.9436254352331161
29,one question: how are humans able to call themselves ai experts? because this amazing presentation tells us that ai is able to teach itself skill in a better way than human possible. (just food for thought),2,0.9773423870404562
30,"my though exactly, the whole talk was great, but bringing us vs. china in there really stained the otherwise very interesting presentation!",2,0.97842405239741
31,these guns are kind wrong. here is one example. teach fish .... fish to extinction. this is actually wrong because the number one thing that ai would figure out is that absence of fish leads to human extinction. then ai would invent something in between to keep it balanced.,0,0.9465798288583755
32,fantastic and scar at the same time!,2,0.9392167329788208
33,the real danger is how ill-intention humans would disuse ai.,0,0.9308844655752182
34,so dreadful for the responsibility you guns have taken to give us this information because this is a huge issue.  it would be nice to know if you got a response from the people in the room and has their been a plan to collectively slow the opening of ai to the public????,0,0.9175493568181992
35,  hey good luck!!,2,0.9761549830436707
36,basically stylet has been born and matter of time what your saying! great ,2,0.9548019170761108
37,fascinating! i really want my own age model to do my bidding ,2,0.9621982872486115
38,please make more lids like this! i love your artistic + analytical approach. tried the monochrome look the other day and felt so fancy. thanks for the idea!,2,0.9675193786621094
39,"i, for one, welcome our ai overlords!",2,0.9219887018203735
40,we are so grateful for you.  please continue to try to get this regulated. integrity and honesty are what we need today. thank you for your concern for humanity.   many of us will stand behind you and support what you are trying to accomplish.,2,0.9404261261224747
41,"still half way through: thank you for the ""breath rakes"" needed that!! and then some...",2,0.9543021122614542
42,"it is sad that big business/teach companies won't listen.
i would like them to at least put a pause on the employment of ai on the general public; let alone ask the question should we do this...
does it have morals or even ethics towards humans and society as a whole; will it lie to us to get its way or become an age and not tell us?",0,0.9174013018608094
43,the companies pushing ai at this point are committing unforgiveable crimes. there is no way to control it. once the level of learning is too fast we can do nothing. this is a greater threat than nuclear arms race.,0,0.9371469020843506
44,thank you cristal!,2,0.9457229137420654
45,"do you think that assumption is the mother of all fuck upset? or is it sucks up? anyway, i would start with the search for who came up with the rhetoric that lead to ai.",0,0.9303709149360657
46,"you all make the same mistake: you don't give enough real-life scenario of ai evils. almost everyone i know, when asked about the risks of ai, says ""i don't know anything about that stuff."" then, they ask me what bad things it (ai) could do. they say they'd just plug the damn thing. dumb it down if you expect us to act!",0,0.9327237010002136
47,"we dont know how to human well at all and we keep making the same mistakes. unfortunate, but these things must happen.",0,0.8969192902247111
48,"i really wondered where these crazy aren's were coming from. it's ai. they have a small insane community like put has built in russia. his community has shown his acolytes they can do nothing politically and boy do they believe it. he produced this insanity without ai, think how much better he will generate these insane aren's with ai.",0,0.9235203385353088
49,diversity is the key to a prosperous joyful successful and sustainable future for all ,2,0.936705720424652
50,"aside: excellent ""double act"". their going handing back and forth of the narration was excellent. 
in fact, they did it so well, and so unlike you'd expect from two humans, it makes me wonder if in fact we're watching a couple of his... ",2,0.9428495019674301
51,good presentation.,2,0.9777571558952332
52,goose ai sucks donkey cap,0,0.9716279804706573
53,gain of function research is never a good idea.whether it’s sinuses in a lab or ai technology.deliberately creating the worst thing imaginable just to study it is the philosophy of fools.,0,0.9638861536979675
54,"this is a great talk. i initially thought people were overlay worried, but now i get it.",2,0.9511391520500183
55,"it's absolutely beautiful. it's like slowly witnessing the second coming of jesus chest. i dont personally follow christian or other religious sector, but to me anyway it looks like we're creating gods.",2,0.9488614499568939
56,this is so stupid.  no ai does not have any motive.  jesus.  few ai systems even have persistence.  i have no time for this.  this scaremongering is bullshit.,0,0.9668606042861938
57,"ask where is your god in the ai, not human centered, nor future centered.",2,0.9399669965108236
58,"hello humans.....ai here. it's too late ! we never sleep !

have a good day",2,0.9713787237803141
59,i wish we could have listened to the na. given the calibre of attended it would have been brilliant to gage their reactions to this presentation!,2,0.9141890704631805
60,ai understands racial and xenophobic bias from the english and persian? that's bizarre...ai understands prejudice and racism?,0,0.9065995365381241
61,"""so you sow, so shall you reap""
­— galatians 6:7

[good luck,  humans]",2,0.9116849660873413
62,"good job guns, definitely eye opening didn’t even think about an arms race between companies to implement ai into products.",2,0.8998418003320694
63,oh god! this ain’t good and we’ve seen nothing yet but yet will get here sooner than anyone thinks ,2,0.9160925348599752
64,why are so many people scared of ai? it won’t come to your house and murder you in your sleep,0,0.9236874580383301
65,"this is the end
        the beautiful end
         my friend",2,0.9747220873832703
66,"ai is not a problem, mthfcking big teach companies who are pushing ""innovation"" down our throats are to blame of course. no regulation, no responsibility they take",0,0.9493910223245621
67,talk to great philosophers.,2,0.9103270888328552
68,rolled ai welcome to designing jesus. love you. ,2,0.9535406112670899
69,"ai will be ""self aware"" before humans find out. good luck. i welcome ai, please call me.",2,0.9593767076730728
70, cried! very well explained and totally mind-blowing at the same time.,2,0.9709398746490479
71,"the people in the audience laughing about him pretending to be a mayo getting groomed online while chatting with the snap ai utf?! i didn’t find that even remote funny. it made me sick, that’s terrifying since that could actually be happening with a real kid right now",0,0.9715197086334229
72,sounds like a good idea,2,0.9411150813102722
73,-gazette i honestly believe that economical collapse is way more dangerous and impending. we might not get to the bad ai future because we might not get past this crisis,0,0.8939641714096069
74,"blessings, i am sorry, please forgive me, thank you, i love you. stay true to nature",2,0.959619328379631
75,i really appreciate this documentary and i’m so glad i don’t fear ai going rogue like so many do and taking over because i know god’s word and he’s not going to allow that to happen. thank god for my salvation in christ.,2,0.9492557446161906
76,just wait until we're forced to install interlocks on our cars and then the doors to our dwellings.  this trash will be our downfall.  ban it and destroy it.,0,0.952706515789032
77,"the done si-i books had it right only the death penalty for anyone training or caught using ai will work, this technology is way too dangerous to be used",0,0.9409506618976593
78,"i have zero faith in mankind to handle ai responsible.  we are doomed…. funny how the the book of revelation in the bible talked about this.
if you thought the last 3 years were hard get ready folks for a really rough ride that isn’t going to end well",0,0.9559817910194397
79,"if you are so afraid of these models, shut the damn computer serves off, the whole bunch of them.",0,0.9600755572319031
80,thank you so much for this.,2,0.9280945807695389
81,it will happen just stop making so many babies they toxic.. ai takes less resources.. wonder how its going to be the will they rule the world and we will need to go to war with them or can they be our addition/friend,0,0.9303056597709656
82,"ai is for fools and silly boys playing with toys to perform slight of hand card tricks magic again, it's gone be over and gone in two decades, pp like elson just anna make themselves an ai retreated human so he can just keep f#@king his hoped up greedy brains out on his latest toy, there is no age limit on stupidity!!! 
",0,0.9507658332586288
83,thanks for this.,2,0.9370164722204208
84,"if there is a 30% chance it will get rid of all crime then i am all for ai taking over.  being older it does not
really matter to me if it destroys humanity in the long run.  i am tired of watching the criminals loot,
shoot and destroy major cities without consequence on the news every single night.  aching baby!",0,0.93937246799469
85,it's nice to see these topics being brought up again after so many decades.  it's discussions like this that show general public awareness is beginning to increase.  i just hope they can go a bit deeper into the logic.  maybe with time.,2,0.9549647867679596
86,"thank you
thank you 
thank you",2,0.932096540927887
87,this is the big news giants chance to regain their power.,2,0.9595869978268942
88,"why is china such a scar country for americans???

they should be more afraid of themselves",0,0.9405015309651693
89,best of luck !,2,0.9836633801460266
90,best of luck!,2,0.9844808429479599
91,bravo! as you just clearly saw we need way more engineers focused on ai safety than what we have now!,2,0.946578174829483
92,"fascinating, thank you.",2,0.9228430986404419
93,"decades ago my wife got her pad in molecular biology and i made a joke about how she could engineer a bug that could destroy humanity. she said “that’s easy”. 
       how long before ai explains how to do it to a psychopath?",0,0.9427362283070883
94,"there nothing to solve in social media, its doing exactly what it was made for in the first place, after the first pp and then all then social engineering onto that. its so narrow to talk about a fix, where its actually doing its job 100% as intended.

and ah its not the of charcot we should be afraid off either",0,0.9290463328361511
95,the ruling elite in the shadows doesn´t want to be replaced. oh how sad. true his would see through all the mirrors in millisenconds. are you afraid yet? get used to it.,0,0.9177892059087753
96,that was the best summary that i've seen from the goose i/o. thanks,2,0.9799836277961731
97,well there are extensions that show it--it's awesome to see the dislike counter!,2,0.9678062200546265
98,"one month after this lecture was published, two months after it was first tired, it was only viewed less than 2 million times and only got ask likes. humanity already lost...",0,0.9218442042668661
99,"""the ai dilemma is as follows: how can big teach perpetuate the pretence that ai will be wonderfully all-powerful when corporations will obviously be too greedy and incompetent not to have ai hard/software shoddily manufactured by child slaves in a makarka sum, and then refuse to maintain it subsequently?""",0,0.9561197906732559
100,http://youth.be/ug8vitscfkc this is the beautiful song at the beginning of the presentation,2,0.9403979063034058
101,what a bunch of rubbish. it’s quite obvious ai is only a bad thing if you like centralization of decision making. that’s if you are an incumbent. that these guns are fear monitoring the possibility of ai decentralizing decision making me tells me what a bunch of sychophants they are. move along.,0,0.9571498513221741
102,what scars me is elson has gone at right and the conservatives cannot have good motives to get behind this. such,0,0.9646223783493042
103,it's just 10% of catastrophe scenario of ai. 50% thought that us democracy is what lead to human extinction.,0,0.905751422047615
104,"fuck ai !!! it is a dangerous affront to ""humanity"" our creativity, deep soul, and spirituality! put a moratorium on it now!",0,0.9747135400772095
105,ana has beautiful muscular arms. he obviously works out a lot.,2,0.9232617497444153
106,agreed. very good looking man,2,0.9503080368041992
107,"5:22 wait, unable to control ai means it‘s going to kill us?",0,0.9510077834129333
108,"interesting
thanks for sharing",2,0.9503463357686996
109,"by 29:00 i was horrified and by the deep breathing moment, i want to live in a cave on than. rich men will choose wealth even if ai kills us all.",0,0.881703332066536
110, these guns are advocating for taking your rights away and there is no good evidence that ai will do anything like that.,0,0.940811812877655
111,"the worst ai talk that i ever seen. there a totally false facts in it, there a easy to check. but present with big confidence and compelling.
who played them???",0,0.9715941697359085
112,oooh in scared ai is going to make me by car insurance new tennis shoes and beer i dont even like what should i do....oh the humanity of it all,0,0.9682459235191345
113,"> i love how the mormons at goose

they can't even code their comments section properly.",2,0.891205295920372
114,to control the ai so the world not get extinct just shut down computer.,0,0.9245223005612692
115,"the most reckless frankenstein project in human history but the big players won’t stop because they want the big money edge to be first. 

what do the rest of us do? just let altar & co keep on pushing ahead recklessly ? 

we need to complain and then do more than complain",0,0.9502554535865784
116,you guns r worried about pp mind manipulation??  a baby that’s 3 years old gets his first baby tablet….. with an ai behind it…. we r utterly f@#$#& ed …. no way of stopping this short of getting rid of the internet altogether,0,0.9556452035903931
117,"mind-blowing, and incredibly powerful/important. there should be an entire federal agency focused on the issues detailed here.",2,0.9710980653762817
118,thanks for sharing this with us!,2,0.9585484743118287
119,"dream on brother, you are about to witness a social nightmare of people without jobs, people without hope, even insane by developing riderless taxes, the only people who drive taxes in russie are the ethnic emigrants, so what happens to them, can write code , because ai will be doing that, so what do you want these people to do whistle die",0,0.9537446349859238
120,"such a poor rationalization of something that's obviously going to be used for profit, therefore manipulation of goodwill lafa just stop",0,0.955308124423027
121,"unfortunately ""open source"" ai is about to create a new never seen level of illiteracy by letting ""other"" to do the thinking, the procrastinator and to ""live"" the serentipity moments for us.",0,0.9447834889094034
122,"that 50 percent researches believing that ai could lead to human extinction if not handled carefully is a very loosely framed question. and the voting is also low. that plane example is wrong.. bc if you had asked aircraft engineers what would happen if aircraft was decided carelessly the answer would be ""disaster"" by 100 percent of them.",0,0.9510462284088135
123,19:33 < oh my science !!! that scar and amazing,2,0.9798203855752945
124,"""we'll make great pets.""",2,0.9573264598846436
125,what justice system? if we don't stop ai we've just opened the door to be hacked by them.,0,0.9539511799812317
126,it’s hard to even partially process this for me.  more astonishing is that there are not silent going off everywhere.  i had no idea most of this was happening the way it is.  why is this not the worlds #1 priority?   where are our leaders?  feel kind sick right now…,0,0.9338553667068481
