,Comment,Label,Score
0,nice chairs,2,0.9439900368452072
1,oh man produced crabpeople even know ai works?hata even think know his better anybody else give names them yea children identity ai kill us all will discover earth isn flat,0,0.9556852380434672
2,starts big fat lie goose no ai researches believe risk ai kill us,0,0.9597727060317993
3,now great talk,2,0.9606812357902527
4,people laughing shown stuff like ai okay pedophilia pretty disturbing,0,0.9534502029418945
5,holy fuck amazing,2,0.9695701003074646
6,artificial intelligence worries me fact corrupt government social media command developer programme work them weaponized artificial intelligence hacking hemp weapons chance have,0,0.9329298257827758
7,us china already designing ai swarm drone technologies respective militarist humanity doomed,0,0.9403408020734787
8,real purpose ai prove god creation failure ai apply religious practice industries problem good!more that?it dangerous result normal human extinction god jesus allow that!,0,0.9524398048718771
9,ai going destroy us socially its ever physical threat,0,0.9141344130039215
10,impressive talk thanks sharing,2,0.9535678386688232
11,lost control ai good! companies rush make much money possible! singularity happen soon!,2,0.9142200549443563
12,great presentation guns thanks this really opens eyes makes think,2,0.9608322739601135
13,stop idiot dont make dumb mistakes again give roots free will cause death mankind,0,0.9723080992698669
14,superb presentation folks good job !!,2,0.9927040636539459
15,delete facebook account recently gives nightmare! even founder looks like root!,0,0.9719673842191696
16,china collapse first lack trust bc ai russia collapse next us chance collapsing ai lack society trust everything,0,0.9254733324050903
17,thank sharing education important ai continuous education hope think adding subtitles reach masses,2,0.9409884661436081
18,god bless !,2,0.9846168756484985
19,ai facts children sex laws behaves shown utterly reliable useless,0,0.9225474447011948
20,give thought technology ruining world fitting totally ruin it everything sucks breaks ai,0,0.9767263829708099
21,airplane used flying bombs killer roots coming guns used kill animals food used shoot people many technologies used us built fail safes,0,0.927067776521047
22,ohhhhhh lord sooooooo spectacular,2,0.9831707179546356
23,unfortunately slow things down china pedal metal can afford slow down,0,0.9412240982055664
24,really annoy obvious unknowns fear future ai heading yet tucking right along it everyone responsible ai needs come mutual agreement stop,0,0.9623806675275167
25,that good!,2,0.9767412185668946
26,imagine running panel ai safety henry the forest jump war crimes kissing,0,0.9633554021517435
27,man point excited neuralink dont want anything teach related near brain honest give always thought social media biggest mistake in huge negative impact life wish everything arms race,0,0.9381581842899323
28,old we need china doing censor public keep technology hands people use ai perpetuate governmental systems oppression fuck goose,0,0.9436254352331161
29,one question humans able call ai experts? amazing presentation tells us ai able teach skill better way human possible just food thought,2,0.9773423870404562
30,though exactly whole talk great bringing us vs china really stained otherwise interesting presentation!,2,0.97842405239741
31,guns kind wrong one example teach fish fish extinction actually wrong number one thing ai would figure absence fish leads human extinction ai would invent something keep balanced,0,0.9465798288583755
32,fantastic scar time!,2,0.9392167329788208
33,real danger illintentioned humans would disuse ai,0,0.9308844655752182
34,dreadful responsibility guns taken give us information huge issue would nice to know got response people room plan collectively slow opening ai public????,0,0.9175493568181992
35,hey good luck!!,2,0.9761549830436707
36,basically stylet born matter time saying! great,2,0.9548019170761108
37,fascinating! really want age model bidding,2,0.9621982872486115
38,please make lids like this! love artistic analytical approach tried monochrome look day felt fancy thanks idea!,2,0.9675193786621094
39,i one welcome ai overlords!,2,0.9219887018203735
40,grateful you please continue try get regulated integrity honesty need today thank concern humanity many us stand behind support trying accomplish,2,0.9404261261224747
41,still half way through thank breath rakes needed that!! some,2,0.9543021122614542
42,sad big business teach companies listen would like least put pause employment ai general public let alone ask question this morals even ethics towards humans society whole lie us get way become age tell us?,0,0.9174013018608094
43,companies pushing ai point committing unforgiveable crimes way control it level learning fast nothing greater threat nuclear arms race,0,0.9371469020843506
44,thank cristal!,2,0.9457229137420654
45,think assumption mother fuck upset? sucks up? anyway would start search came rhetoric lead ai,0,0.9303709149360657
46,make mistake give enough realize scenario ai evils almost everyone know asked risks ai says i know anything stuff then ask bad things ai could do say they plug damn thing dumb expect us act!,0,0.9327237010002136
47,dont know human well keep making mistakes unfortunate things must happen,0,0.8969192902247111
48,really wondered crazy parents coming from ai small insane community like put built russia community shown acolytes nothing politically boy believe it produced insanity without ai think much better generate insane parents ai,0,0.9235203385353088
49,diversity key prosperous joyful successful sustainable future,2,0.936705720424652
50,aside excellent double act going handing back forth narration excellent fact well unlike expect two humans makes wonder fact were watching couple his,2,0.9428495019674301
51,good presentation,2,0.9777571558952332
52,goose ai sucks donkey cap,0,0.9716279804706573
53,gain function research never good idea whether its sinuses lab ai technology deliberately creating worst thing imaginable study philosophy fools,0,0.9638861536979675
54,great talk initially thought people overlay worried get it,2,0.9511391520500183
55,absolutely beautiful like slowly witnessing second coming jesus chest dont personally follow christian religious sector anyway looks like were creating gods,2,0.9488614499568939
56,stupid ai motive jesus ai systems even persistence time this scaremongering bullshit,0,0.9668606042861938
57,ask god ai human centered future centered,2,0.9399669965108236
58,hello humans ai here late ! never sleep ! good day,2,0.9713787237803141
59,wish could listened na given calibre attended would brilliant gage reactions presentation!,2,0.9141890704631805
60,ai understands racial xenophobic bias english persian? that bizarre ai understands prejudice racism?,0,0.9065995365381241
61,so sow shall reap galatians good luck humans,2,0.9116849660873413
62,good job guns definitely eye opening didn even think arms race companies implement ai products,2,0.8998418003320694
63,oh god! aunt good were seen nothing yet yet get sooner anyone thinks,2,0.9160925348599752
