,Comment,Sentiment,Score
0,asunto sigue computadoras cuanticas inteligencia artificial mutaciones geneticas implantes biomecanicos trasplantes organos robotica toda infierno tecnologia dios exterminara veremos inconmensurable gloria cielos nuevos tierra nueva escrito esta,negative,0.9583070874214172
2,gracias trabajo excelente,positive,0.9955228567123413
5,agenda tendras seras infeliz,negative,0.9754746556282043
6,tipo marc vidal podria ser creador nueva religion politica salto marxismo cultura contemporaneo marxismo artificial manera tener sesgo ideologico progresista comentarios seudoinformaticos digo seudo mitad dicho correcto mitad falso tendencioso,negative,0.990541398525238
7,impecable informe felicitaciones,positive,0.9839363098144531
9,marc haces referencia usos daninos ia deepfakes suplantacion identidad recetas armar explosivos consejos cometer masacre etc si debe ser regulado menos tener certeza modelos nlp estan siendo entrenados eso,negative,0.9964261651039124
10,ia ordenadores cuanticos peligrosa? creo si,negative,0.9957446455955505
11,exacto!! prometeo puede detras fenomeno quizas agendas ocultas enly enky sombras digo serio viven miles anos,negative,0.9628539681434631
12,poder gente pie? decir mayoria ahora pues descendamos confundamos alli lengua ninguno entienda habla companero observar descendamos confundamos estan plural aunque quemen codices apaguen ias,negative,0.9848173260688782
13,sera posible genialidad hombre ia? don q magico esencia himbtev podra tener ia ?,positive,0.9272803068161011
14,nos muestran tecnologia en eventos chinay te preguntas!deverdad esto existe?la realidad supera la ficcion,negative,0.9168936610221863
15,enserio que husted cree que es un robot?perdone pero no pienso que sea esto mire porque xiste cajas faradaycreo que se trata de ondas que te frien el cerebro,negative,0.9923005104064941
18,ia siempre sera programa soldado cualquier programa codigo ordenes codigo comandos obedecerlas codigo puede modificar por oficial mando moraleja seres humanos sesgos ia tambien no oficial mando programador,negative,0.9777260422706604
19,bien explicado gracias realista,positive,0.9955249428749084
23,colombia machera! monumental discurso!,positive,0.9512268304824829
25,hola excelente exposicion pensar ia racional optimista detectando problemas ia revolucionar proteomica genomica impresionante recomiendo ver lado ia puede ayudar comer?,positive,0.9949246644973755
27,humanidad nunca sido buenos siempre encontramos forma arruinar aunque pierdo esperanza ahora buenos nosotros definitiva filosofico pensar mejor peor ahora pareciera bien mal misma cosa,negative,0.9671632051467896
28,coincido contigo full,positive,0.9880302548408508
29,pues veo futuro negro libertades que dios ampare,positive,0.9821403622627258
