,Comment,Sentiment,Score
1,trata ia remplaze personas trata personas den mejores resultados bajo estimulos correctos,positive,0.9443212747573853
3,eso dice la biblia esta n mal,negative,0.9742376208305359
4,temerosos gerra ugrania sabemos wue acabara si acaba humano inteligencia artificial acabaremos especia mismos,negative,0.9749159812927246
5,siglo lx escribio el mostruo franquestein miedo tranplante organos pasado nada,negative,0.9616137742996216
6,biblia palabra !!! dios ultimos tiempos ciencia aumentara acepten cristo salvacion almas el tiempo acaba senores,positive,0.9778240919113159
14,mire pelicula megan obvio si realidad escaneaba cosas entonces vino mente cosa va pasar robots verdad puedan escanear aprendan matar,negative,0.9745137095451355
15,gracias amo amor cristo,positive,0.9953187108039856
17,que hablan asi?,negative,0.9708206653594971
19,dislike! paranoias cual exactamente amenaza advierte aqui hechos? escuchado unicamente especulaciones mucha paja,negative,0.9964039325714111
20,si continuan ia van desplazar ambitos,negative,0.9730244278907776
23,nuevo orden mundial sera controlado privacidad borde tener privacidad gobierno quisieran ovejas lobos vestido ovejas,negative,0.9899867177009583
24,cristo viene,positive,0.9638214111328125
26,robot solo robot idiotas robot saben perfectamente herramienta humanos peligrosos pueden ser humanos hacer mal uso herramienta creando apologia peligros por ia el padre ia parese soquete tambien punto pelota,negative,0.9947085380554199
31,esta cerca fin ciencia mal servidores senales ahora visibles dueno planeta tierra va venir sacar rebano podra orden,negative,0.9847607016563416
35,si aniquila hace favor tremendo devuelve almas verdadero hogar mil veces mejor estu cientos miles xe investigsciones asi confirman,negative,0.9700930714607239
36,raro inteligencia artificial mande cyborg liquidar hombre,negative,0.9857785701751709
37,inteligencia artificial funcion electricidad no??? si fuente energia inteligencia artificial funcionaria facil solo apagar maquinas drama?,negative,0.9673028588294983
39,pues ojala i a descubra que autos circula descubra carro va alguien secuestrado pues si tan inteligente descubra asesino,negative,0.979580819606781
40,ultron,positive,0.9658899307250977
43,viva amlo viva morena larga vida presidente,positive,0.9822346568107605
44,prepararse jihad bluteriano,negative,0.9551031589508057
45,problema hecho quw ente llamado satanas tegonologias caera manos osea demonios hablando maquinas,negative,0.9882454872131348
46,aunque humano desaparezca manos ia dios hizo tierra habitada maquinas dios quitaria tierra emocion alguna,negative,0.9660469889640808
48,inteligencia artificial riesgo nadie peligro psicopatas,negative,0.9649022221565247
50,aterrador,positive,0.9182141423225403
52,solo podemos hacer rendirnos si hacemos inteligencia artificial acabara mas facil mente,negative,0.9751976132392883
54,tan listos creamos mas inteligente q q va matar,negative,0.9211135506629944
56,definir reglas ultima etapa abarcar inteligencia neuronal gobiernos sectores espirituales fuerzas trabajo capital inversion manejo puedan permitir tal manera unico fin desarrollo celestial vida tierra,positive,0.9047993421554565
58,skynet habria completado mira saludos,positive,0.9206271171569824
