,Comment,Sentiment,Score
5,daria mama iphone bro siempre querido,positive,0.9925757646560669
13,daria mama iphone bro siempre querido,positive,0.9925757646560669
14,si gano iphone regalaria ama,positive,0.9680581092834473
15,primero haria seria darle telefono actual hermana telefono mejor,positive,0.9422041177749634
18,pondria feliz nunca ganado !,positive,0.985575795173645
21,regalare hija anos,positive,0.9643992781639099
27,buenisimo jajajaja,positive,0.9953923225402832
30,gustaria ganar iphone ver si cierto buenos,positive,0.9780322313308716
31,usaria uso personal que hace semana iba comprar !phone cambiaron momento entrega bloqueado conclusion hicieron fraude,negative,0.9894211292266846
34,gane ayfon tomare fotos chilito k ruk,positive,0.9203237891197205
37,si gano iphone voy usar edicion fotografia casa,positive,0.9120983481407166
40,daria mama iphone bro siempre querido,positive,0.9925757646560669
42,codo mundo,positive,0.967878520488739
46,si gano veria only fans master,positive,0.9686276316642761
47,tomaria fotos hd mamitas puebla,positive,0.9078689217567444
48,si gano iphone podria hacer varias cosas q puedo hacer cel jaja,positive,0.9578161239624023
53,si gano iphone usaria tomarle fotos preciosa,positive,0.9850274324417114
54,daria celular viejo padre,positive,0.9337030053138733
57,espero parte,positive,0.9943675398826599
60,usaria poder tener iphone ver chavo,positive,0.9862706661224365
61,daria madre necesita,positive,0.9610537886619568
62,pos emociono si gano cel,positive,0.9600858688354492
63,primero haria ver youtube siguiente broma ia prankedy!,negative,0.914754331111908
64,si gano doy beso,positive,0.9022558927536011
71,primero haria si gano iphone seria ponerme leer jsjsjs cel quebrado,negative,0.9390206933021545
73,primero haria si gano seria darte gracias pues usaria aprovechandolo maximo proyecto ganas iniciar,positive,0.9796691536903381
74,primero haria darselo amiga luz cosas u esta danado,negative,0.9494319558143616
75,si ganara iphone presumiria esposo diria mira pobre,negative,0.9731297492980957
76,jajaja boss,positive,0.9882702827453613
77,seria util trabajo!!,positive,0.9918642044067383
79,primero haria seria darle telefono actual el xr hermana mejor telefono,positive,0.9781764149665833
80,primer haria si ganara iphone seria descargarme aplicacion teams universidad telefono muchas gracias tocayo buenisima broma,positive,0.9790084958076477
86,echame iphone ver tiktoks jose torres chaketearmela,positive,0.9104310870170593
90,usaria ver partidos jaguares chiapas necaxa,positive,0.984017550945282
91,prankedy tr amo,positive,0.9946152567863464
95,utilizaria tomar fotos gran camara,positive,0.9769836068153381
97,vendria bien celular,positive,0.9607757329940796
100,ests muerta broma xd,negative,0.9375322461128235
104,min judas tan traicionero pd si llego ganar iphone seria mejor inicio ano dias sido dificiles,negative,0.9868077635765076
105,si lograra ganar ocuparia utilizarlo uiversidad venderlo pagar colegiatura universidad apoyar padres seria bendicion dios,positive,0.9714730978012085
106,quisiera ganar jugar free fireee,positive,0.9578734040260315
108,haria iphone seria venderlo usar dinero universidad,negative,0.9572228193283081
110,primero haria suscribirme aifon cuenta carnal saludos jojutla morelos,positive,0.9743435382843018
112,primero haria hacer zoom maximo tomar foto saludos prankedy,positive,0.9391453862190247
115,si gano tomaria fotos lindas bosque casa,positive,0.9664152264595032
118,utilizaria iphone grabar hacer bromas,negative,0.956973671913147
119,usuaria completar tareas uni piden programas pobre celular aguanta,negative,0.9493494033813477
123,cada like ayudara comprarle nuevo neumatico prankedy!!!,positive,0.9867223501205444
127,usaria cursos mencionados,positive,0.9289117455482483
128,jajajaja picaron llanta q locoo mi gustaria ganarme iphone ensenarle mama bromas burla mi pq si,negative,0.9236137270927429
130,haria iphone regalaria ama renovarle celular trae,positive,0.9416648149490356
131,si gano regalo telefono mama,positive,0.9323877692222595
133,honestamente haria iphone seria darselo hermano robaron iba camino escuela pobre sentia si mundo odiara,negative,0.9961052536964417
136,celular usaria darselo padre debido celular creo qu ele daria buen uso saludos hermano amo videso crack,positive,0.991124153137207
138,grande prankedy ojala gane celular,positive,0.9860491156578064
140,tardas,positive,0.9174013733863831
143,quiero ganar iphone cel jala jajja,positive,0.9505982995033264
145,nunca podido tener buen telefono gustaria primero,positive,0.9718695878982544
147,mandar imagenes whatsapp buenos dias piolin,positive,0.9724543690681458
148,necesito iphone daro plebe si sepa shitpost,negative,0.9169628620147705
159,primero haria seria darle telefono actual el xr hermana mejor telefono,positive,0.9781764149665833
162,si ganara iphone gravaria personas haciendo paradas estacion autobuses,negative,0.9552738070487976
163,hola,positive,0.9795252084732056
164,jajaja chido,positive,0.9220453500747681
180,si ganara primero haria seria pegarme chaqueton fotos prankedy,negative,0.9245702028274536
183,haria telefono seria usarlo estudios voy entrar academia posiblemente cursos aprendisaje hace falta buen telefono,positive,0.9394289255142212
186,haria tomar unas fotos bien chidas subirlas instagram fin tener celular decente pinche cascajo traigo jajajaja favor tio prankedi hazme buena,positive,0.9264442324638367
187,excelente seguir trabajando iphone,positive,0.9959933757781982
188,tomar bien perronas pa ista,positive,0.9021667242050171
189,suscribiria of rei misterio aifon,positive,0.9591948390007019
195,veria mas prankedy,positive,0.9525954723358154
198,quedo bien culero burro van rankin despues tanta droga parece mas instructor barras praderas!!,negative,0.9256771802902222
201,gane iphone,positive,0.9725472331047058
207,primero haria seria ver porki,positive,0.9150829315185547
208,si gano seria genial,positive,0.9748398661613464
210,we rompieron lap ahora arriesgas mac pro troleo jajaja,negative,0.9567458629608154
211,presumirlo redes jajaja dedicatoria prankedy,positive,0.9898870587348938
215,tiraria telefono roto sirve camara,negative,0.9669918417930603
216,regalaria esposa,positive,0.9766855835914612
218,llamar abuela,positive,0.936875581741333
226,ver que tener,positive,0.9910246133804321
230,agradeceria dios disfrutaria iphone,positive,0.9924254417419434
233,regalarselo novia cel falla,negative,0.9005313515663147
234,usaria decir ere pobre phone,negative,0.9933805465698242
236,si gano iphone ocuparia universidad fotos estudio veterinara ocupo buenas fotos,positive,0.9596604704856873
240,primero haria subscribirme onli rey misterio esta sabroso,positive,0.9833571910858154
245,daria hermano chiquito,positive,0.9593831300735474
252,jugar geometry dash,positive,0.9028174877166748
253,haria iphone sseria tomar fotos,negative,0.9112080931663513
256,usaria poder estudiar comunicarme mama,positive,0.9881030917167664
257,haria seria subir historias buena calidad,positive,0.9837291836738586
262,usaria iphone hacer bromas ia,negative,0.9745030403137207
