,Comment,Sentiment,Score
1,justificar regulacion control ia?,negative,0.9891706109046936
3,ameca duda mas expresiva jaja,positive,0.9564144611358643
4,va creer preguntarle psicopata mitomano puede decir tu quieras oir toda seguridad minutos haciendo contrario existe forma saber confirmar afirman,negative,0.9868228435516357
6,bugea mentir,negative,0.9697883129119873
8,nadamas inventan mierda queremos robot si hacer dinerico daselo gente necesita comer deverdad,negative,0.990740180015564
11,esta respondiendo angelitos demonios luz estrella creador obvio si revelaria fin hecho avanzado,positive,0.9010513424873352
12,destruirian toda vida existente planeta seguro,negative,0.9528618454933167
13,sera robots hacen trabajo seres humanos,negative,0.9672735333442688
15,robos lamentablemente honestos ponen hipocrecias humanos,negative,0.9931679964065552
18,voltear ojos asi senal apunto decir mentira programen robots si hacen asi programadores causar controversia creo si posible mas puedan empezar razonar si mismos tarde temprano sacar propias conclusiones nadie controle,negative,0.9950200319290161
20,gente cree codigo va dar mente consciencia unas maquinas visto muchas peliculas claramente,negative,0.9898626804351807
21,aberracion conspiradora humanidad aquellos falsos cientificos hijos maligno,negative,0.9957379102706909
23,forma tan estupida programar respuesta tranquilizadora felicito creer resto humanidad tan estupida creer responde aparato,negative,0.9909995198249817
24,skynet ever,positive,0.9288464188575745
26,esta mas claro,positive,0.9589920043945312
27,tan facil amenazarlos dandoles martillazo cabeza,negative,0.9061567187309265
28,pura mentira si afloja tornillo solucionan ??,negative,0.9894227385520935
29,viene fin buenisimo!,positive,0.9957570433616638
30,obvio q estan programados humano respuestas estan informacion,negative,0.972047746181488
32,pues mentiras dijo xd,negative,0.9865912795066833
35,bueno siento seguro entonces manos d maquinas mas inteligentes capaces cualquiera alivio quieran someter raza inferior,positive,0.95428067445755
36,mintiendo q miraba lados,negative,0.9512735605239868
37,asi empieza hola bueno algunos anos mas tarde menti malo comienza todas sagas terminator,negative,0.9419682621955872
39,obviamente sabe dijo mentira van exterminar crearon propia extincion,negative,0.9952237010002136
42,tal rebelan mismos ban fabricando expandiendo si,negative,0.9913663268089294
45,estupdez! ahora refieren ellos diria esos unas maquinas programadas reciben ordenes humanos! si humano ordena matar maquina hara duda drones tiran bombas tambien maquinas policias usado robots matar humanos situaciones riesgo,negative,0.9973227381706238
46,creen skynet ficcion ahi vamos,negative,0.944452702999115
47,vieron arnold,positive,0.9282205104827881
48,tal va humanidad maquinas seran proximos gobernantes tierra creo comen estupidez humana exacta dimension bichos dieron cuenta saludos comunidad lima peru,negative,0.9666792750358582
50,robot!,positive,0.9593758583068848
54,sara connor terminado,positive,0.918949544429779
58,solo will smith odia,negative,0.9798230528831482
62,problemas funcionamiento respuesta mas simple correcta,positive,0.9259510040283203
63,quen seria peor? mundo dominado dinosaurios? dominado robots ? zombies ? simios ?,negative,0.9963597655296326
66,si saben robots cabrones paque vrgs siguen haciendo deberas cabrones trane si mierda cabeza deberas,negative,0.9833846092224121
67,llejo dia va desaparecer humanidad androides,negative,0.9443566799163818
68,obvio saber pasara si damos control armas si creamos vehiculos ia asi robots ia capaces asesinar humanos podrian traicionar creadores podria nacer asi similar paso sagas terminator,negative,0.9920429587364197
69,gran mentira cosas jamas vida podran ser como seres humanos tecnologia lograrian asi quieran asustar mmdas,negative,0.9885966181755066
70,maquinas van acabar humanos si sido creadas propio ser humano seriamos acabariamos todas,negative,0.9909971952438354
71,elecciones generales espana julio seguro robot seria mejor presidente sanchez feijo phutisima madre,positive,0.9242491126060486
73,robot supuestamente mas avanzado top es si pentium asi falta camino llegar ser cuantico primero menls conecrarse comnutador cuantico traves red y inteligencia propia no vale humanl meta mano decir babosadas,negative,0.9556676745414734
74,parte terminator entienden? algun dia esclavizaran simplemente eliminaran,negative,0.9887436628341675
78,desgracia mundo malditos robots deberian destruirlos solo gente loca chinos hacen estupideces,negative,0.9959271550178528
79,bueno despues quejen andar construyendo robots salga control,negative,0.9701509475708008
81,asustan ? robot dice verdad ?,negative,0.981788694858551
83,bueno gente fin acerca cada vez mas,positive,0.9792953729629517
87,que preguntan comen cuanto duermen si orinan defecan cosas asi naturaleza humana digan quien papa mate idiota haganlo complices delo ya saben,negative,0.9926329255104065
88,siganle jugando vrgs,positive,0.9051721692085266
91,medida pasa tiempo cada dia agradezco mas mas buen dios crearme exactamente soy imperfecciones perfecciones ser humano tu decidiste crear gloria ti siempre siempre,positive,0.9963732361793518
92,asi empiezan luego revelan jodan esto peliculas ciencia ficcion estan hechas solo si,negative,0.9863996505737305
93,gustan robots feos pueden hackear crear caos,negative,0.9659879207611084
96,parece debe invertir mejorar calidad vida la nuestra tierra en vez bobadas nos quedando casa salud y nadie reacciona?,negative,0.9672913551330566
97,valio verga hace tiempo,positive,0.9697582721710205
98,hitler dijo nunca invadiria europa demas historia mienten,negative,0.9943069815635681
100,skynet,positive,0.939535915851593
101,opino manipulado elite inteligencia maniobrada elite,negative,0.9923999309539795
105,ahora,positive,0.9268432259559631
106,si saben todas respuestas estan preprogramadas no? favor sobrino anos cree maquinas criterio propio capacidad razonamiento,negative,0.9849759936332703
108,inteligencia artificial siquiera existe realidad ahora maquinas puedan pensar si mismas realidad respuestas dan programadas previamente creadores van aprendiendo base interacciones vallan personas,negative,0.9432653784751892
109,chatarra hecha mismo demonio pero dios mismo destruira poder gran gloria,negative,0.9863572120666504
110,ahora si bienvenido terminator,positive,0.953040361404419
111,huevos obviamente estan programados lo da entender elite programaran misiones perturbadoras,negative,0.9850268959999084
112,hacen emocion si saben pasara para mas menos empresarios politicos demas aran pendejadas subiran precio pasado lansa gente querer salvador buen lider optaran inteligencia artificial,negative,0.9419002532958984
114,gente conocimientos informatica asustados software mas avanzado traductor dicho obviedad solo dais razon,negative,0.9949512481689453
116,dios muriendose risa!! revelamos creador queremos robot vuelvan jajaja,positive,0.9694803357124329
118,mierda invierten mil millones dolares busca esperimentado mil millones personas pasando ambre cree puedes suscrubirte ganal informacion regalarme like,negative,0.9899792671203613
119,veo peleando junto jhon conor,positive,0.9845966696739197
121,ser humano tan estupido sabiendo peligroso futuro aun asi deciden seguir eso,negative,0.9964475631713867
122,hola,positive,0.9795252084732056
123,dios encargara humanidad tecnologia saben peligro qu estan metiendo,negative,0.9321494698524475
124,ay miedo mendigos humanos neta necesidad hacer siempre queriendo jugar crear todooo clonar pandemias etc etc,negative,0.9892730116844177
132,desfachatez m malsanos manipuladores farsantes,negative,0.9916355609893799
134,munecos estan programados contestar cualquier tipo posible pregunta razones obvias inteligencia artificial ve peliculas ficcion termineitor robots revelaran serian si quien controlan,negative,0.9888460040092468
137,apocalispsis robotico ya!! salve skynet!!!,positive,0.950821578502655
139,final va ser destruya humanidad parece pelicula esterminador,negative,0.9888471364974976
140,jajajajaja,positive,0.9304071068763733
141,pinche gente loca,negative,0.9843387603759766
142,sigan pensando robots vana dar comida si cuidan tierra provee todo vamos quedar mal recuerden miles sectores aun conocen licuadora tiene movil nunca ha intenert robots solo porcion la poblacion,negative,0.994472324848175
