,Comment,Sentiment,Score
3,muchas fe gane iphone pondria cargar jajaja sal,positive,0.9813925623893738
8,chico minuto,positive,0.9422160387039185
10,carnal iphone ayudaria trabajo rey,positive,0.9630676507949829
14,venderia poder ayudar mama poder arreglar casa saludos,positive,0.9586641788482666
20,si gano ver only rey mysterio don,positive,0.9664997458457947
24,usare tomar fotos,positive,0.9298819303512573
26,ver mejor only karely mio ve media pantalla echar andar imaginacion,positive,0.9853762984275818
29,mejorar diagramas carrera,positive,0.9900623559951782
33,regalarselo hermana,positive,0.9465013742446899
34,prankedy si gano aifon hecharia chingo ganas uni terminando quiero ir usa conocer papa manana cumple anos conozco bro si quieres pruebas mando instagram creas mas grande sueno conocer papa persona,positive,0.9016106724739075
35,regalaria jefa trae chicharron jaja,positive,0.9784073233604431
37,ocuparia verte yutu,positive,0.9622811675071716
39,prankedi si gano aifon hecharia chingo ganas uni terminando quiero ir usa conocer papa manana cumple anos conozco bro si quieres pruebas mando instagram creas mas grande sueno conocer papa persona,positive,0.9015361070632935
47,listo perro,positive,0.9763225317001343
48,bailo tio,positive,0.9755984544754028
51,iphone tramitare beca,positive,0.9207769632339478
54,encantaria ganarme iphone poder regalarselo hermanito cumple echando ganas escuela!!,positive,0.9920772314071655
55,usaria mejorar calidad fotos trabajo barbero apenas comenzando buen telefono subir contenido disminuye calidad casi atraigo clientes,positive,0.937292754650116
57,necesito nueva vida jajaja tendras ahi,positive,0.973412036895752
59,escucharia rammstein,positive,0.9836965203285217
62,hermano videazo,positive,0.9443936944007874
69,ojala gane iphone,positive,0.9677819609642029
70,todavia regalan cosas chidas ponen pedo,negative,0.9420040249824524
73,estudio,positive,0.9676904082298279
75,primero haria seria poder hacer mejores trabajos universidad ademas igual ocuparlo cosas trabajo,positive,0.9174826145172119
77,si gano daria novia,positive,0.9132848381996155
80,gane pongo cara cuadro alv,positive,0.9034239053726196
86,venderia pagar deudas xd,negative,0.9403643012046814
87,daria mama,positive,0.9795181155204773
89,k mereces,positive,0.9910763502120972
95,poder tener nuevo celular sirve mio,positive,0.9741999506950378
96,si gano iphone podre editar fotos negocio,positive,0.9116079211235046
98,primero haria grabar proyectos carrera produccion audiovisual,positive,0.9591549634933472
100,vatos parece burro vanrankin jajajaja no escribe,negative,0.9111956357955933
101,primero haria hacerme chaqueta darte gracias,positive,0.9881607294082642
102,seria regalo madre,positive,0.962830662727356
104,venderia occuparia dinero celebrale cumpleanos ami hija,negative,0.9414798617362976
