,Comment,Sentiment,Score
0,explico madres,positive,0.9186158776283264
1,buenisimo,positive,0.9935142993927002
2,voz parece robot persona robot intenta controlar,negative,0.9534902572631836
3,falacia afirmar conciencia inteligencia robots ordenadores entes inconscientes vez inteligencia que falacia mas realista denominar programacion artificial ordenadores maquinas ciberneticas cosa inconsciente puede poseer conciencia inteligencia,negative,0.9920912981033325
4,gusta voz,positive,0.9885802865028381
5,estupendo,positive,0.9915999174118042
7,excelente explicacion gracias,positive,0.9963655471801758
8,interesante desarrollo aunque siempre puede ser tan cierto acertar mente humana cuanto interpretacion datos,positive,0.9744325280189514
10,acuerdo inteligencia artificial que creatividad que expresiones emociones para que!!! indica artificial y factura mas no? error y peligroso,negative,0.9963136315345764
17,todas maneras inteligencia humana ni biologica chatarras programadas fastidiosas corrector whatsapp que fastidio donde quedo computadora azul profundo jugaba ajedrez? loa campeones ganaron dejaron pir suelo ia,negative,0.9925645589828491
19,proxima guerra mundial yarbis ai vs humanos supervivencia,negative,0.9428622722625732
22,hombre puede inventar crear distinto existe dentro si mismo hombre solo imita preconcebido,negative,0.9502883553504944
23,inteligencia artificial conciencia artificial inteligencia artificial tener sebe trillon personas solo lugar emula errores solo rrespuestas,negative,0.9813001751899719
24,parece extraordinario dijo inteligencia artificial quede peor entendi,negative,0.9899836778640747
27,casa usan cibercriminales querer quitarme,negative,0.9644384980201721
29,existe posibilidad algun momento ia capaz desarrollar conciencia descubrir forma intervenir naturaleza ser humano darse cuenta destruyendonos medio creo lleguen extinguir ser humano seguro van recurrir metodos extremos corregirnos,negative,0.9718458652496338
31,conductismo moderno puro,positive,0.9675420522689819
33,porqueria,negative,0.9242950677871704
34,inteligencia artificial robots ls saben quien da vida demonios cuerpo x usan cuerpos asen creer als saben verdad engano,negative,0.9940432906150818
37,padre inteligencia artifical puede llevar negligencia inteligencia artificial?,negative,0.9858206510543823
39,gracias compartir saber bendiciones,positive,0.9949990510940552
41,odioooo,negative,0.9851771593093872
42,ia robo mas oro espanoles sera nueva noticia,negative,0.964516818523407
46,buena explicacion muchas gracias,positive,0.9961560368537903
47,resumen algoritmos bool,positive,0.9066455960273743
49,muchas gracias compartir,positive,0.995846688747406
50,si objetivo recrear funciones inteligencia cerebro humano oodria cerebro ai volverse loco?,negative,0.9933317303657532
51,logra caer minimos parciales entrenar redes multicapa? utiliza multicapa si esta demostrado dos capas puede lograrse cualquier solucion mas capas? debe reducen operaciones matematicas?,negative,0.9743664264678955
53,mejor naturalmente espiritual,positive,0.9938840270042419
56,intereso bueno,positive,0.9951024055480957
57,excelente explicacion muchas gracias,positive,0.9963401556015015
58,interesante,positive,0.9925556778907776
63,inteligencia artificial toda via lista x k pregunta da respuestas mas ase respuesta internet recopila mas datos mismo va aser inteligencia artificial dia domine pendejo k piense mas aya k ven ojos,negative,0.9213656783103943
64,ai mal usada forma esclavitud dominio control corazon hombre enganoso corrompido,negative,0.99672532081604
65,existe ninguna inteligencia artificial resulta bastante estupido subestimen mundo quedan mundo reverendos idiotas dejen droga,negative,0.9952279329299927
66,gente trabaja inteligencia artificial mas ineptos mundo inconscientente estan creando moustruo peor diablo siquiera estan dando cuenta mas chistoso eso refiero ahora sino futuro,negative,0.9940443634986877
67,inteligencia artificial siguiente revolucion bueno contenido,positive,0.9800035357475281
69,inteligencia artificial tal existe espiritu inmundo controlan mundo espiritual rige mundo fisico,negative,0.9944316744804382
70,pues autos i a fallado accidentes fallas dicha inteligencia artificial ya nomas falta digan va venir terminator gobernarnos nunca dejaran ser maquinas mas fallas humanos estos cientificos juegan ser dioses,negative,0.995501697063446
71,queria saber operaciones matematicas utilizan fines,negative,0.9249072074890137
74,inteligencia artificial solo almacen datos,negative,0.955633282661438
75,inteligencia artificial existe simplemente miles millones datos estadisticas ecuaciones etc si meten datos naranjas china,negative,0.9931058287620544
76,simulaciones sofware redes neuronales ahora estan fabricando chip harware neuronas formando redes neuronales imitan cerebro tenerles miedo,negative,0.943120002746582
78,como plantea ia reproduccion emociones humanas parte inteligencia aprendizaje? emociones estan base conducta tipo habra algoritmos sentir placer amor rabia odio belleza etc?,negative,0.9646167159080505
82,inteligencia artificial traera mas pobreza ala poblacion nacional ricos sevenefiaran magina cuantas personas q daran trabajo operen robots,negative,0.994612455368042
83,que ??? bueno solo quiero decir ahora rusia compite usa bueno china mas es peligroso consiste crear computadoras piensen mas inteligentemente humano asi facil saludo todas todos,negative,0.9952118396759033
84,inteligencia artificial va tumbar trabajo ser humano,negative,0.9509298801422119
85,aburrido,negative,0.9716113805770874
88,hombre cada vez mas esta jugando hacer dios futuro si sigue asi hombre dia creador castigara hombre sodoma gomorra pecado ojos creador ambicion tecnologia sere destruccion,negative,0.9614666700363159
91,inteligencia artificial datos?,negative,0.9703963994979858
93,excelente tema dale like comentario si piensas inteligencia artificial va generar cambio positivo humanidad contrario dedito abajo si piensas cambio va ser negativo,positive,0.9886858463287354
95,buen ensenlador,positive,0.9950228929519653
96,bueno sigue miel,positive,0.9944326281547546
97,simplemente brillante admiracion,positive,0.9945780038833618
98,bien explicado entendi,positive,0.9879134297370911
101,jajajaja gusto dijo qui binarios,positive,0.9764002561569214
102,excelente punto descartes eventualmente punto importante conciencia mismo svegriatevi,positive,0.9885683059692383
104,momento dejan usar inteligente milicia mejor usan matar ted unabomber tenia razon pesar psicopata asesino tenia cociente intelectual de mas q einstein manifiesto esta convirtiendo realidad,negative,0.9763922095298767
106,gracias informacion tiempo prestado!!!,positive,0.9955447912216187
107,mas pobreza mas delincuencia tipos q inventan solo importa resto vale,negative,0.9929786324501038
109,sabia futbolista argentino gonzalo higuain tremendo profesor explica bien,positive,0.9702671766281128
110,inteligencia artificial?? solo algoritmos creados seres inteligentes procesados cpus potentes deberia usarse termino,negative,0.9665399789810181
112,!hace dos anos! profeta mundo va ser mas menos aldous huxley elite pequena piensa raza creada laboratorio serie gente solo realiza trabajos manuales repetitivos piensa https bloglenguaencolombia blogspot com elfindelpensamientohumanoconel html,negative,0.958763599395752
114,buena explicacion,positive,0.9871435761451721
115,super claro,positive,0.9933547973632812
116,buenas tardes eduardo estas? espero bien buscando aplicacion inteligencia artificial elaborar informes avance resultado proyectos inversion partiendo datos tabla informacion podrian sugerirme alguna gracias,positive,0.9908989667892456
117,bueno muchas gracias,positive,0.9959226846694946
118,q quiere desir q mismos damos erramie tas para co putadora aprenda xe inteligencia humana,negative,0.990180492401123
119,tecnologia futuro! ayudara evolucionar,positive,0.9703449606895447
120,gracias informacion,positive,0.99569171667099
121,inteligencia artificial peligro futuro humanidad aunque llamen fanatico religioso,negative,0.9922094345092773
122,excelente preciso bien explicado saludos republica dominicana,positive,0.9951268434524536
123,quisiera ia ayude encontrar tres violadores abusaron sexualmente tio dejaron casi muerto odio !!! destruyeron vida personas rodeamos,negative,0.9961280226707458
124,pura culerada,negative,0.9467698335647583
128,inteligencia artificial mismo oir politicos grupo millonarios si dicen matemos mitad humanidad digamos inteligencia artificial recomienda,negative,0.9937193393707275
130,inteligencia artificial terminara reemplazandonos usarla seria aniquilar propia inteligencia generara perdidas trabajo despidos laborales,negative,0.9964419007301331
131,dinosaurio luego cuentos biblia luego virus ahora ia sabes si cosa programada control muchas cosas inventan bla bla bla,negative,0.9802981019020081
132,si algun grupo observa vehiculo i a presidente recetea podria robarlo creo q van aumentar mercado negro componentes electronicos hoy dia roban tantos celulares cualquiera tendra tarjeta i a sustraer dinero cajeros,negative,0.9963235855102539
133,inteligencia humana farsa llaman ia puro intelecto enlatado solo eso inteligencia atributo ser puede imitar,negative,0.9838207960128784
135,buena explicacion,positive,0.9871435761451721
137,podrido inteligencia artificial,negative,0.9890038371086121
139,ordenador vencio campeon ajedrez ibm deep blue,positive,0.9547179341316223
140,hay peligro real humanidad ia?,negative,0.9910764694213867
142,gero,positive,0.939937949180603
143,parece excelente estupides no veo nadade inteligencia si controlado x ser humano yo llamaria inteligencia programada,negative,0.9500694870948792
144,inteligencia se salvaron nuevas generaciones ya tendran trabajar las personas seran mas felices por ejemplo hay ocaciones tiempo que suspender bebida domingo tarde porque trabajar lunes ya fastidio pasara historia,negative,0.9117639660835266
146,gracias as salvado vida literal,positive,0.9947839379310608
147,elon musk presidente,positive,0.9068718552589417
149,tres tipos humanos tierra extraterrestres robots humanos invento tan extrano,negative,0.9359511137008667
150,gusta,positive,0.9639036655426025
151,interesante,positive,0.9925556778907776
152,bien clara idea quedo algoritmo,positive,0.9522709250450134
153,terminaremos haciendo replicantes,negative,0.945495069026947
155,inteligencia artificial podria perfeccionar mayor rapidez formulas soluciones pero cerebro humano gran ventaja llamado emociones ninguna maquina puede analizar sentir,positive,0.9852887988090515
157,excelente explicacion gracias totales!,positive,0.9965283274650574
159,llaman inteligencia artificial inteligencia creada inteligencia humana algo perdido camino,negative,0.9620772004127502
162,rapido ejemplos necesarios,positive,0.9820917248725891
166,excelente exposicion lenguaje lllano,positive,0.9935639500617981
