Comment,Label,Score
"you guns all make great points, crying online wont help. people have to go and put their law makers in check and stop electing douchebags.",0,0.8954510000000001
in more afraid of democrats than i am of some human created ai..,0,0.865466
"now! this ai is great at firing out ai and other quota like questions, we are doomed! please ask yourself why these people are trying to frighten you and remember the patriot act or look it up.",0,0.8823880000000001
100% the doom of humanity... just as the bible states in joel 2 and revelation 13:7-18... its unstoppable because no matter how much they want to control the ai .every country's military is going non stop to destroy life with ai.. especially the us military dark... the human heart is desperately wicked... that's all you need to understand the end!,0,0.8765919999999999
"we are getting very close to the time the great depression started 100 years ago, ending around the was. i think it's about to happen again with these jobs being taken away",0,0.8990600000000001
"well, the other problem with creative ai is you cannot copyright any of it's generate content.",0,0.899633
"as a paralegal, i'm glad i'm working for the government cause this shit is donna drive down wages and cost jobs

admittedly, that lawyer may have singlehanded killed ai in the legal industry. we'll see how it goes",0,0.862379
"good stuff! another youtuber named hosanna passing just tried making a cake using a recipe generate by ai... it turned out horribly, as she fought her urge to change things up that she knew weren't going to work properly, realizing that most people wouldn't know it wasn't going to work.",0,0.8967930000000001
would it be that bad if ai could replace some jobs were human make a lot of mistakes? i mean how many times doctors misdiagnosed ? if we can have a 100% accurate machine to diagnose us wouldn't it be better?,0,0.896744
i recall the one on twitter a few years back.... the humans were successful in making it awful,0,0.8989969999999999
"we are developing ours deaths that is ai
human whole species will be vanished after full development of robotics and ai",0,0.8718130000000001
wo s to this h makar cap in mot tasha hate spite gear se ku home ja rare ho sir s such band war did exercise again..................,0,0.862764
"but ai is make by humans, if it can affect the survival of human  then human can destroy ai in future.",0,0.891733
i don't think i ai will hate humans until or unless it's code with some kind of these...they don't have any emotion even towards themselves..,0,0.893866
ai can't give a child birth nor death.,0,0.8802049999999999
human can build ai but ai cannot build human.,0,0.8933500000000001
he is the fattest human brain,0,0.894102
what is the biggest threat of ai.. that is it will take our jobs.. if ai takes our jobs what will happen.. we won't be able to fulfill our necessities food water and shelter. so what i feel is that basic fear is the fear of survival.,0,0.8945130000000001
"i am shocked , this is harsh reality of ai ",0,0.862233
ai will become very dangerous for humans in future  we need to think about it ,0,0.8977090000000001
"-humans can create a.i but a.i cannot create humans, a.i cannot love like mother, a.i cannot, a.i will not think when we are alone a.i cannot think without commanding to it sorry if i am wrong",0,0.8878959999999999
ai humans i line wall had such salt me,0,0.8421
you know what's crazy? thanks to edward sodden we have proves against the u.s.a. but you keep saying china is the bad gay.,0,0.8804040000000001
"people are worried we'll starve because,  roots will be hired over humans.",0,0.8898949999999999
"when the truck drivers lose jobs to machines, wont the destroy the economy?",0,0.894829
"without fail, give a female a microphone, and she immediately starts complaining",0,0.8759309999999999
"the correct topic, the age of demon possession in the end game... god bless you all friends. amen",2,0.894131
i am so glad that i am over the hill.  i don't want to ve around to see much more of this.,0,0.897195
"the happy ismail adverse please because garlic dewailly tire off a vigorous canada. mighty, nine mexican",0,0.8995110000000001
"yeah measure happiness in china.  what use is all this ""innovation"" if at the end of the day it makes everyone miserable.",0,0.899175
intelligence without feelings emotions will hit hard to humanity to bleed.,0,0.899368
it’s a wonderful powerful tool== for the antichrist to use to control the world. what do you think?,2,0.877129
ai the monster humans created to destroy themselves,0,0.8989929999999999
that's super scar!(the amount of information that china has on it's people),0,0.8475429999999999
"i'm not afraid of a.i., i'm afraid of  the intention of a.i.s creator. 

they are the most dangerous.",0,0.8927229999999999
muslin first jailed by the millions in china!! you are next!,0,0.895083
this is pure evil ...a.i . no thanks china keep your demon,0,0.890013
"with ai, you will be convicted of thought crimes even before you commit them.",0,0.891629
"ai is not the danger, the danger is the human telling it what to do, what is right and what is wrong, how to respond, and what are facts and what are not the facts..",0,0.875955
