Timestamp,Username,VideoID,Comment,Date
2023-04-16T15:53:18Z,@HerrAnwalt,aC0P6r2ryGw,"Hey ihr Lieben. Ich bin super gespannt auf eure Meinung. Vielleicht kennt ihr noch andere Gefahren, oder seid ganz anderer Meinung. Am meisten freue ich mich über sachliche Kommentare. Auch untereinander. Ich und mein Cutter, würden uns über Teilungen, Superthanks oder Kanalmitgliedschaften sehr freuen, oder wenn ihr euch Zeit für das Video nehmt. Lasst auch gerne ein Like da.
Lieben Gruß 
euer Tim",2023-04-16T15:53:18Z
2024-06-01T18:03:55Z,@AnPublica,aC0P6r2ryGw,"Wo genau kann man genaueres über die ""Bibliothek von Babylon"" erfahren. Ich habe noch nie davon gehört. Ich kenne nur die Bibliothek von Alexandria. @9:35",2024-06-01T18:03:55Z
2024-05-26T16:45:29Z,@onbak6871,aC0P6r2ryGw,Es könnte aber auch sein das die KI kein Medikant zur Symptombekämpfung entwickelt sonder die Menscheit vernichtet um die Ursache des Krebs auszulöschen.,2024-05-26T16:45:29Z
2024-05-24T17:22:55Z,@forestma1,aC0P6r2ryGw,"Ich glaube, dass eines Tages der Zeitpunkt kommt, an dem „Skynet“ und der Mensch miteinander verschmelzen. Aus Homo sapiens wird Homo Deus.",2024-05-24T17:22:55Z
2024-05-13T08:03:08Z,@howmathematicianscreatemat9226,aC0P6r2ryGw,"Hatte schon immer das Gefühl, dass Handwerker die wahren intellektuellen sind. Danke, dass Sie das jetzt bestätigt haben ! 😊 

Das mag paradox klingen von einem Mathematiker aber ich bin nicht so im Ego, dass mich das stört. Ich muss mich halt einfach umschulen. Im Liebesleben ist man als Handwerker sowieso meist viel beliebter als als Akademiker weil diese Leute viel mehr mit der Realität verbunden sind. 

Ist also nicht so tragisch wie es klingt, dass bald die meisten Akademiker durch KI nutzlos werden.",2024-05-13T08:03:08Z
2024-05-08T04:57:42Z,@user-ui6gz9vg8f,aC0P6r2ryGw,Hilfst mir super für meine Klassenarbeit,2024-05-08T04:57:42Z
2024-05-04T22:24:25Z,@Tigerfeuer,aC0P6r2ryGw,KI ist das schimmste was die Menschheit erfunden hat.... Es liegt in unserer Natur uns selbst zustören. Das ist die Wahrheit. Echt schade.,2024-05-04T22:24:25Z
2024-04-04T04:09:49Z,@survivalmods,aC0P6r2ryGw,"KI sollte erst dann eingesetzt werden wenn sie hinterfragt bevor sie einen Befehl ausführt mit detaillierten Anweisungen. Und erst beim zweiten, dritten mal nachfragen den Befehl ausführt. Gerade dort wo im  Worst Case Zenario das Leben bedroht ist.",2024-04-04T04:12:02Z
2024-03-24T20:42:30Z,@geraldhaller9906,aC0P6r2ryGw,"Wenn die KI so gut ist wie die Entwickler behaupten dann wird uns nichts passieren,  denn dann müssen wir Menschen für die KI arbeiten während die KI Bürgergeld kassiert !",2024-03-24T20:42:30Z
2024-03-23T21:05:53Z,@IT12-SCE,aC0P6r2ryGw,"Der Fortschritt lässt sich nicht aufhalten. Die Frage ist ob wir das ""alle"" gemeinsam überhaupt steuern können oder aber nur eine bzw. wenige Gruppen und sich daraus natürlich eigene Vorteile ziehen?
Die Jahre wird es zeigen.",2024-03-23T21:05:53Z
2024-02-29T09:50:20Z,@messiyam9796,aC0P6r2ryGw,Ich dachte am schluss sagst du dann das deine Stimme von einer KI ist😅,2024-02-29T09:50:20Z
2024-02-24T12:23:16Z,@ergocinema,aC0P6r2ryGw,"Die Ungleichheit wird natürlich dadurch vergrößert, dass die großen Tech-Firmen nur in Steueroasen und Billiglohnländern ihre KI-Modelle laufenlassen müssen, um jeden Arbeiter in der Kreativbranche maximal zu unterbieten. Selbst wenn die Resultate nie richtig gut werden und wenn es nach wie vor nicht zu unterschätzende Kosten durch die KI-Tools gibt, erscheint das Angebot in den Augen vieler Nutzer als gut genug...",2024-02-24T12:23:16Z
2024-01-13T22:53:00Z,@michaelberger6843,aC0P6r2ryGw,Im Film ist meisten ja auch was reales zu finden wie in jeder Geschichte zb Mord GmbH das soll von 1968 geschrieben wurde aber passt in heute zeit wie die bibel ab und zu,2024-01-13T22:53:00Z
2024-01-13T22:50:22Z,@michaelberger6843,aC0P6r2ryGw,TRANSCENDENCE guter Film über eine aber noch spezielle ki oder kurz man geht noch weiter und da frage mich wie weit das gemacht wurde wird oder ...,2024-01-13T22:50:22Z
2024-01-13T22:46:17Z,@michaelberger6843,aC0P6r2ryGw,Traurig ist ja eher das der amerikanische super computer echt so heisst wie in Terminator also skynet aber glaub das es nicht mal schuldige gibt das denke ich das um realistisch rüber zu kommen haben die von Terminator diesen Namen skynet von der realen Welt übernommen also.,2024-01-13T22:46:17Z
2024-01-13T22:38:19Z,@michaelberger6843,aC0P6r2ryGw,Krass ist dazu auch mal von hitler seine propaganda Projekte die ja alle glauben mussten so war meistens nicht mehr lustig lol reimt sich sogar,2024-01-13T22:38:19Z
2024-01-01T14:37:06Z,@BirgitEngelbreth-il4vt,aC0P6r2ryGw,"Ja,wäre die KI wirklich Intelligent würde Sie uns die Arbeit überlassen.😂.😂😂

Ich bekomme Angst bei dem Gedanken ich könnte durch die KI verdrängt werden.
Kein Mensch ist fehlerlos.Ich glaube nicht an die KI.Ich möchte dass nicht.😊",2024-01-07T06:49:10Z
2023-12-14T11:18:55Z,@Kalladion,aC0P6r2ryGw,"Die ki muss zerstört werden dann kann sie das nicht mit uns.Ende des Problems und der Gefahr.Tote Kis können keine gefahr seuin weil sie nicht mehr sind.Wer nicht ist der kann nichts anrichten.Und da gfragen wir nicht,das machen wir einfach.Und tod ist dann die Hochleistungs Behinderte version ihres geistig behinderten schöpfers.",2023-12-14T11:20:51Z
2023-12-04T21:32:37Z,@peterrosenbach4919,aC0P6r2ryGw,Der Geist ist aus der Flasche.,2023-12-04T21:32:37Z
2023-12-01T23:34:24Z,@grossdominik93,aC0P6r2ryGw,Was ist das fürn Pullover Herr Anwalt?,2023-12-01T23:34:24Z
2023-11-28T18:45:32Z,@lunatwich1803,aC0P6r2ryGw,sehr gutes video,2023-11-28T18:45:32Z
2023-11-27T04:14:34Z,@niemandniemand2224,aC0P6r2ryGw,"Ein Mann wurde einmal gefragt, ob es eine perfekte Frau gibt. Er antwortete: Wer interessiert sich für Perfektion?  Sogar der Mond ist nicht perfekt; er ist voller Krater. Das Meer ist unglaublich schön, aber salzig und dunkel in der Tiefe. Der Himmel ist immer unendlich , aber oft bewölkt. Also ist alles, was schön ist, nicht perfekt. Es ist besonders. Deshalb kann jede Frau für jemanden etwas  Besonderes sein. Hör auf, perfekt zu sein. Sondern versuche lieber, frei zu leben, das tun, was du liebst, ohne andere beeindrucken zu wollen.",2023-11-27T04:14:34Z
2023-11-26T20:51:40Z,@gtrrrrrg,aC0P6r2ryGw,Wir stehen vor großen Gefahren: Übernahme der KI oder Zusammenbruch des Internets.,2023-11-26T20:51:40Z
2023-11-12T12:54:45Z,@annivlaflipfan9184,aC0P6r2ryGw,"Interessantes Video 👍 
5:55 Ich habe für mich die Bilder vergrößert. Ich sage, dass das linke Bild ein normales Foto ist und das rechte Foto ist KI. Lippen sind etwas voller, Mund lächelt, ...",2023-11-12T12:54:45Z
2023-11-08T21:49:04Z,@completelystrangemusic9966,aC0P6r2ryGw,"Man sollte es auf jeden Fall verbieten, da eindeutig Millionenfach Bild und Textmaterial gestohlen wurde.",2023-11-08T21:49:04Z
2023-11-07T09:40:51Z,@Red_Lecram,aC0P6r2ryGw,"Also zunächst kann eine KI nicht intelligenter sein, als derjenige der sie programmiert, oder diejenigen die sie mit Daten füttert.

Gefährlich ist/würde/wird es, wenn man einer KI erlaubt, die (möglicherweise) selbstständig, erlernte/n Information/en, nicht nur zu verarbeiten, auszuwerten und zur Verfügung zu stellen. Sondern dieser erlaubt, Informationen dazu zu nutzen, sich selbstständig Handlungen beizubringen und zu vollbringen. Ich denke, das möchte niemand, wäre/ist, auch schwierig zu programmieren.

Wir sollten einer Maschine niemals das Recht geben, über Leben und/oder Tod eines Lebewesens zu entscheiden, oder dieses Recht anzueignen/anzuzweifeln, schon hat sich das Problem erledigt.

Also alles eine Sache der Programmierung.

Leider gibt es bereits Maschinen/Kriegsgerät die diese Entscheidung eigenständig treffen kann, wenn man ihr diese überlässt. Darf man an dieser Stelle sagen, das diese sogenannte Kamikaze Drohne, die eigenständig Ziele erfassen und zerstören kann, als erstes und bisher, laut meinen Infos, nur von Israel gebaut wurde? Dort werden auch schon autonom arbeitende ""Grenzkontroll-Roboter"" eingesetzt🤔

Wir alle programmieren übrigens an  verschiedenen KIs mit. Wir bringen ihr bei, was ein Zebrastreifen, eine Ampel, ein Boot ein Haus mit Kamin, usw. ist. Wer jetzt denkt: Nein, das mach ich nicht! - Schon mal ein Captcha gelöst bzw. bewiesen das du ein Mensch bist, um im Internet auf irgendetwas zu zugreifen? - Tada KI programmiert bzw. mit Daten gefüttert✌🏼",2023-11-07T10:20:26Z
2023-11-02T23:40:46Z,@Duplex007,aC0P6r2ryGw,Einige Länder werden ein KI Verbot einführen,2023-11-02T23:40:46Z
2023-11-01T23:08:27Z,@kometenflockeartinspiratio5503,aC0P6r2ryGw,"Wir müssen alle unsere Handys vergraben, dann hat der Spuk ein Ende!",2023-11-01T23:08:27Z
2023-10-29T10:24:21Z,@sternwessen,aC0P6r2ryGw,"War es nicht immer schon so das jene die wussten nach was sie suchen ranghöher wahren, das Problem das ich sehe ist das schrumpfen unserer Merkens Volumens, da wir mit so viel alltäglichem Müll zu gespammt werden",2023-10-29T10:24:21Z
2023-10-22T05:36:39Z,@agreenbutterfly7979,aC0P6r2ryGw,Cyborg incoming...🤔 🙄🤫,2023-10-22T05:36:39Z
2023-09-29T13:55:58Z,@AppleFabrik,aC0P6r2ryGw,Laden sie es sich runder,2023-09-29T13:55:58Z
2023-09-19T12:04:50Z,@sirfrancisarthur,aC0P6r2ryGw,"Best interessant,  heb een paar punten opgepikt die ik nog niet opgenomen had.",2023-09-19T12:04:50Z
2023-08-31T18:05:58Z,@kontonutzer4562,aC0P6r2ryGw,"Herr Anwalt: Wer ist Urheber der erzeugten Texte; ChatGPT oder der, der dies beauftragt? Zumal sich die erzeugten Texte sicher ähneln müssten…😅",2023-08-31T18:05:58Z
