index,Label,Score,translated_spanish
0,0,0.9662208706140518,"honestamente simplemente los desbloqueamos, dejemos a los ai tomar el control. el mundo en el que vivimos está malvado en cualquier caso no puede ver cómo los ai pueden hacer que sea peor."
1,0,0.9662208706140518,Liberalos y deja que el Ai asuma el control.
2,2,0.9532601982355118,Me encanta que las personas brillantes sigan creyendo que tienen el control.
3,2,0.9532601982355118,Las personas brillantes creen que tienen el control.
4,0,0.9676995277404784,"Esto es bullshit, Ai es sólo una esperanza que no va a ningún lado, está siendo usado para bombear stocks fallando como decir y muchos otros"
5,0,0.9676995277404784,Esto es merda y una esperanza que no va a ningún lado está siendo utilizada para bombear existencias que carecen de liquidez.
6,2,0.96892611682415,uno a otro: “yo siempre te gustaba mejor!”
7,2,0.96892611682415,"Uno dijo, ""mon siempre te gustaba mejor!"""
8,2,0.9653052488962808,"Cuanto más yo veo esto, más estoy de acuerdo con Bill Burr sobre la cuestión: ""plug esa cosa! sacar las baterías y los cables! hacer algo!"" algo de esto, mientras que es realmente cool, es terrorífico."
9,2,0.9653052488962808,"Algunas de estas cosas, a pesar de ser realmente interesantes, son aterradoras."
10,0,0.9720529317855836,Usted no tiene ninguna idea de lo que está hablando. ya se ha descreditado varias veces que la afirmación era una estupidez. pero aquí usted está intentando hacer clic. parar con la estupidez.
11,0,0.9720529317855836,Usted no tiene ninguna idea de lo que está hablando.
12,0,0.9696194231510162,"alguien usará Ai como un medio de armas desagradables. marca mi palabra, el día viene cuando desearíamos que Ai nunca fue inventado."
13,0,0.9696194231510162,Alguien utilizará Ai como arma.
14,0,0.9557092040777206,solo desde la imagen de la miniatura solo me molesta. parar de intentar hacer que esta cosa sea como lo que no es. no es un humano parar de intentar engañarnos. cuando intentas hacer algo que sea como algo que realmente no es tu engañar a la gente & mezclado con ai parece demonio o es simplemente demonio no importa lo que.
15,0,0.9557092040777206,deje de intentar hacer que esta cosa sea lo que no es.
16,0,0.965445801615715,la cosa más barata para la que se puede usar Ai es engañar a las personas y robar su propiedad intelectual o su confianza. es una herramienta gigante del delincuente. ¿Por qué no es obvio para todos?
17,0,0.965445801615715,La cosa más fácil de usar es engañar a la gente y robar su propiedad intelectual o su confianza.
18,0,0.952830284833908,"Cualquiera que afirme que Ai sólo se utilizará para el bien ""porque nos haría daño a nosotros mismos"" olvida que la humanidad ha desarrollado, utilizado y sigue manteniendo armas nucleares."
19,0,0.952830284833908,"Las personas que afirman que Ai se utilizará sólo para el bien olvidan que la humanidad ha desarrollado, utilizado y sigue manteniendo armas nucleares."
20,0,0.967904195189476,"Los seres humanos son malos, en su lado Ai."
21,0,0.967904195189476,Los seres humanos están a su lado.
22,0,0.9638137817382812,Bullshit evitar stupido y sólo puede trabajar en el reconocimiento de patróns. nunca puede ser inteligente. su caso de una enorme repetición. este es miedo no lleva nada más.
23,0,0.9638137817382812,El bullshit sólo puede funcionar en el reconocimiento de patróns.
24,0,0.9637941916783652,"para ser justos, en la mayoría de los casos también somos malos en la aritmética. Basta con poner ese objetivo con un ti-+ y está bien para ir."
25,0,0.9637941916783652,Es bueno para ir si configuras ese objetivo con un ti-+.
26,2,0.9698100835084916,"Es muy, muy, muy bien."
27,2,0.9698100835084916,Es bueno que lo hiciera.
28,2,0.9572011679410934,tuvimos una buena carrera.
29,2,0.9572011679410934,Hemos tenido una buena carrera.
30,0,0.9654412865638732,Esto es tan parvo. La gente está preocupada por Ai irse a la locura y eliminarnos o convertirnos en esclavos por algún motivo incuestionable. No porque Ai sea pessimo sino porque nosotros somos pessimos y nosotros somos los que lo creamos originalmente.
31,0,0.9654412865638732,Es ridículo que la gente esté preocupada por que Ai se deje tolerar y nos convierta en esclavos.
