index,Label,Score,Comment
1,2,0.9458538740873336,Me gusta vivir en una ciudad con raíces sobre una ciudad de seres humanos.
4,0,0.9033167759577432,No se utilizará nada de esto para el bien de la humanidad.
7,2,0.9282882213592528,"Cuando creemos un mundo facial, podemos eliminar a la humanidad y hacer mucho dinero."
10,0,0.9214607874552408,No es consciente de sí mismo y no tiene control.
13,0,0.943443497021993,"Los seres humanos son la representación directa de ""carta antes del caballo"" y no veo que esto termine bien para las personas, veo que se abusa más que realmente ayuda a las personas a trabajar menos y ser humanos."
16,0,0.9252697626749674,"Esta es mala noticia, apagarla ahora."
19,0,0.9380398243665696,"Como un coche en las malas manos, Ai puede ser usado como una arma."
22,0,0.9443434923887252,El primer gran engaño con Ai? será alimentarnos imágenes falsas de un globo.
25,0,0.936359186967214,"""ai es muy peligroso y podría ser armado contra la humanidad""."
28,2,0.926586369673411,Es hora de seguir observando el desarrollo de esta tecnología.
31,0,0.94785937666893,¿Cuándo aparecerá el primer Ai?
34,2,0.9211830377578736,El futuro es excitante.
37,2,0.9060035149256388,"¡Es increíble, miles de millones de milímetros!"
40,0,0.9038200825452803,En algún momento será imposible existir fuera de él.
43,2,0.9391399025917052,La gente amará un equipo de basebol con raíces y puede vivir para siempre.
46,0,0.9006986171007156,No me importaría tener un amigo Ai.
49,2,0.925441026687622,Es un buen actor.
52,0,0.9494129568338394,"Si algo realmente malo pasa por causa de Ai, las personas que trabajan en él deberían ser consideradas responsables."
55,0,0.9265059977769852,No hay manera de que las personas que crean los modelos puedan identificar el código que causó los problemas.
58,0,0.9407137393951416,Deje que el Ai asuma el control y haga extinguir a los seres humanos.
61,0,0.9463262259960176,"En el diseño de Ai, el defecto de la codicia será lo que nos conducirá a los dolores de cabeza."
64,0,0.9312976400057474,Los seres humanos están en el camino de la autodestrucción.
67,0,0.9415161848068238,Nunca será una verdadera inteligencia o incluso cerca de ocuparse de la humanidad.
70,2,0.9421913226445516,Usted hará un par de ciudadanos roumbas.
73,2,0.9327398985624312,"Me parece que si Ai y las raíces se van mejorando que nosotros en juegos y deporte, entonces ambas cosas pueden volver a ser divertidas."
76,0,0.9384145339330038,"Si alguna vez se da cuenta de que los seres humanos están condenados, será armado."
