index,Label,Score,Comment
0,2,0.9458538740873336,Ich bin gut mit einem Leben unter einer Stadt der ai Wurzeln über eine Stadt der Menschen jeden Tag.
1,2,0.9458538740873336,Ich mag in einer Stadt mit Wurzeln über einer Stadt der Menschen leben.
2,2,0.9458538740873336,Ich mag in einer Stadt mit Wurzeln über einer Stadt der Menschen leben.
3,0,0.9033167759577432,"Nichts davon wird zum Wohle der Menschheit verwendet werden. Es wird nur je zum Wohle einiger Menschen verwendet werden, während es die Existenz so viel schwieriger und treuer für die Massen macht. Wie alle neuen Spielzeuge in den Händen der Millionär-Elite. ihre gewährte Erlaubnis würde keiner von uns je auf Versprechungen sein, die sie nie erfüllen."
4,0,0.9033167759577432,Nichts davon wird jemals zum Wohle der Menschheit verwendet werden.
5,0,0.9033167759577432,"Es wird nicht für das Wohl der Menschheit verwendet werden, es wird für den Nutzen einiger Menschen verwendet werden."
6,2,0.9282882213592528,"jetzt! wir eliminieren die Menschheit aktiv, während wir eine Gesichtswelt schaffen! jetzt ist das intelligent! und.., wir können eine ganze Menge Geld machen, während wir uns waschen! so genial!"
7,2,0.9282882213592528,"Wenn wir eine Gesichtswelt schaffen, können wir die Menschheit eliminieren und viel Geld verdienen."
8,2,0.9282882213592528,"Wenn wir eine Gesichtswelt schaffen, können wir die Menschheit eliminieren und viel Geld verdienen!"
9,0,0.9214607874552408,"Diese ganze Paranoia über es zu übernehmen ist noch lächerlich. völlig irrational. es ist nicht selbstbewusst und es ist nicht in der Kontrolle von allem. es ist derzeit noch weit weg von einer Person zu sein. es bevorzugt einige coole Funktionen, aber es ist noch nicht alt, nicht einmal nahe"
10,0,0.9214607874552408,Es ist nicht selbstbewusst und es hat keine Kontrolle.
11,0,0.9214607874552408,Es ist nicht selbstbewusst und es hat nichts unter Kontrolle.
12,0,0.943443497021993,"wir können sogar den Klimawandel unter Kontrolle bekommen... Menschen sind buchstäblich die direkte Repräsentation von ""Cart vor dem Pferd"" und ich sehe nicht, dass dies gut für die Menschen endet (und damit meine ich, ich sehe ai mehr missbraucht wird, als es tatsächlich hilft Menschen weniger zu arbeiten und Mensch zu sein)"
13,0,0.943443497021993,"Menschen sind die direkte Repräsentation von ""Karte vor dem Pferd"" und ich sehe nicht, dass dies gut für die Menschen endet, ich sehe ai mehr missbraucht wird, als es tatsächlich hilft, Menschen weniger zu arbeiten und Mensch zu sein."
14,0,0.943443497021993,"Menschen sind die direkte Repräsentation von ""Karte vor dem Pferd"" und ich sehe nicht, dass dies gut für die Menschen endet, weil ich sehe, dass ai mehr missbraucht wird als es tatsächlich hilft, Menschen weniger zu arbeiten und Mensch zu sein."
15,0,0.9252697626749674,"Dies ist schlechte Nachricht. Stoppen Sie die Entwicklung von Ai jetzt. Ich glaube, die Bibel spricht über dieses Thema. Schalten Sie es jetzt aus."
16,0,0.9252697626749674,"Dies ist schlechte Nachricht, schalten Sie es jetzt aus."
17,0,0.9252697626749674,"Die Bibel sagt, die Entwicklung von Ai jetzt zu stoppen."
18,0,0.9380398243665696,"gut ai ist süß und sehr praktisch, aber wie ein Auto in den falschen Händen kann es als Waffe verwendet werden. ai ist nicht die gefährliche, wir Menschen sind."
19,0,0.9380398243665696,"Wie ein Auto in falschen Händen, Ai kann als Waffe verwendet werden."
20,0,0.9380398243665696,Wie ein Auto in falschen Händen ai kann als Waffe verwendet werden.
21,0,0.9443434923887252,wie werden alle verschiedenen Religionen beteiligt sein oder wird es? uns unwahre Bilder eines Globus (Welt / Erde) zu füttern o die erste große Täuschung mit ai?.
22,0,0.9443434923887252,Die erste große Täuschung mit Ai? wird uns unwahre Bilder eines Globus füttern.
23,0,0.9443434923887252,Die erste große Täuschung mit Ai wird uns unwahre Bilder eines Globus füttern.
24,0,0.936359186967214,"muss: ""ai ist sehr gefährlich und könnte gegen die Menschheit bewaffnet werden."" US-Regierung: ""hm. wir nehmen zwei."""
25,0,0.936359186967214,"""ai ist sehr gefährlich und könnte gegen die Menschheit bewaffnet werden."""
26,0,0.936359186967214,ai ist sehr gefährlich und könnte gegen die Menschheit verwaffen werden
27,2,0.926586369673411,probably time to keep a closer 'eye' on the development of this technology. especially the likes of mr must if it sounds to good to be true it invariably is. just saying.
28,2,0.926586369673411,"Es ist Zeit, ein Auge auf die Entwicklung dieser Technologie zu halten."
29,2,0.926586369673411,"Es ist an der Zeit, auf die Entwicklung dieser Technologie aufmerksam zu sein."
30,0,0.94785937666893,"Wann wird der erste Ai molested auftauchen? ein andros, der die Straßen hält? (es ist ein Witz, mr andros)"
31,0,0.94785937666893,Wann wird der erste Ai entstehen?
32,0,0.94785937666893,"Herr andros, wann wird der erste Ai auftauchen?"
33,2,0.9211830377578736,spannende Zukunft ^^
