Unnamed: 0,Comment,Label,Score
1,i'm good with living among a city of ai roots over a city of human beings any day.,2,0.9458538740873336
2,none of this will be used for the good of humanity. it will only ever be used for the good of a few humans while it makes existence that much more difficult and treacherous for the masses. like all new toys in the hands of the millionaire elite. their granted permission none of us ever would be on promises they never fulfill.,0,0.9033167759577432
3,"now! we are actively eliminating mankind as we create a face world! now that is intelligent! and.., we can make a whole lot of money as we wash ourselves out! so brilliant!",2,0.9282882213592528
4,"this whole paranoia about it taking over is still ridiculous. completely irrational. it's not self aware and it's not in control of anything. it's currently still way way far away from being like a person. it prefers some cool functions but it's still not age , not even close",0,0.9214607874552408
5,"we can even get climate change under control...humans are literally the direct representation of ""cart before the horse"" and i do not see this ending well for people (and by that i mean, i see ai being abused more than it actually helping people work less and be human)",0,0.943443497021993
8,this is bad news. stop development of ai now. i believe the bible speaks on this subject. turn it off now.,0,0.9252697626749674
9,"well ai is sweet and very handy, but like a car in the wrong hands it can be used as weapon. ai is not the dangerous , us humans are.",0,0.9380398243665696
10,how will all the different religions be involved or will it? feeding us untrue pictures of a globe ( world /earth) o the first big deception with ai?.,0,0.9443434923887252
11,"must: ""ai is very dangerous and could be weaponized against humanity."" u.s. government: ""hm. we'll take two.""",0,0.936359186967214
12,probably time to keep a closer 'eye' on the development of this technology. specially the likes of mr must if it sounds to good to be true it invariably is. just saying.,2,0.926586369673411
13,"when will the first ai molested emerge? an andros that stalls the streets? (its a joke, mr andros)",0,0.94785937666893
15,exciting future ^^,2,0.9211830377578736
16,billions of a millimetre?! what the fuck?! that's god-like impressive!!,2,0.9060035149256388
17,"the great danger to my mind is that it will become impossible to exist outside of it. or not permitted to exist outside of it. therefore, when something goes horribly wrong, and it will at some point, there will be no escape, no means of surviving it. this came me in a dream that became a nightmare.",0,0.9038200825452803
20,a baseball team of roots..people will love them and they can live forever.,2,0.9391399025917052
22,"may, i wouldn't mind having an ai friend. he'd probably hate humanity as much as i do at times.",0,0.9006986171007156
23,she is not an ai but a good actor,2,0.925441026687622
24,"all was foretold, and much was forewarned...all in saying is, if something really bad comes to pass because of ai...the people that worked on it should be held accountable as ffffffffff!",0,0.9494129568338394
26,these bloody people don't know how al works these are the people that create the models if something goes wrong in a given ai system there is no way they can identify the code that caused said problems,0,0.9265059977769852
