,Comment
1,"quite simplistic in her teachings on ai , thanks"
2,great one. now generative ai can boost my research skills.
3,this is really the best explanation i have seen so far. thank you so much !
4,thank you so much
6,thank you so much it is very interesting tutorial
9,trump isn't and never was a dictator. good way to sink that product.
10,the trainer made the session so interesting
11,nice
12,what a great style !
13,wonderful! you are ...simply great!!
14,"this was a great introductory lesson on ai. mirella is very knowledgeable, and her presentation keeps your interest. please continue to produce these videos!"
16,good video.i learn from it about generating ai thanks
17,siri as generative ai? :puke:
19,she is the best trainer on earth on ai and ml ... superb video
21,"no wonder google ai is so woke, people like you made it woke"
25,thank you for the lively input on this conversation about ai and generative models. this was beautiful.
26,"but can it write a 60k page novel that a human reader can't put down, and once finished, can't forget it? that's the ultimate turing test for understanding human ontology, not proving (or refuting) the reimann hypothesis (as wonderful as the latter would be)."
27,good one
29,yes climate change may be the biggest risk to humanity but ai is going to accelerate that quickly with energy use
30,an amazing presentation on one of the crucial topic in the age of artificial intelligence! so exciting to see the simplicity and flow of clearly understanding the core principles of the subject. thank you prof for this lecture!
32,"really great job. refreshing, real energy. easy to understand. thank you!"
36,the thumbnail is wow
37,thank you so much for explaining such a complex subject in this brilliant easy way. much appreciate this.
38,very easy to understand. thank you.
43,"great presentation! but why does the last slide always focus on the implications of ai and then quickly move on? it's equally, if not more, important to delve deeper into this topic."
46,thank you...!!!
49,where we will go wrong is when ai starts to teach humans but as long as humans are the one teaching ai or programming then humanity wont be lost but when ai outdoes humans then humans will be at the bottom. ai should be to assist human not become human
50,"isnt anything with an algorithm to work, considered ai since it learns from algorithms to are the best choose and learns from that to make another decision so it learns from the certain algorithm. 
so isnt a set of algorithms the same as ai basically ? so it’s all coding. ai is coding"
51,"generative ai!! is the “ask jeeves” you type a question, and it throws back a bunch of results, generative ai summarises “ selected results “ and gives you a content ( e.g. text ) for your to grasp. ( in most cases it’s a cheat-paragraphs ( not by author ) inserted in one of your readings."
52,"brilliant, the best talk on gen ai for a layman and techie alike. kudos ms lapata"
53,let not give up in our programing journey bc the ai will never stand to manage and move all the issues in a company but humans will remain the best got into my channel and see how we do flash and you can got your on software before is to late.
54,a wonderful session.
55,"as we are using data from dfrnt sources like quora etc ,how we are going to train the model in future because may we will have less data in future.as all people will move to gen ai for their ans."
56,"siri is not generative ai. apple say that it will have ai built into it in 2024.
the fuss began in 2022, not 2023 with the launch of chatgpt 3.0."
57,siri is a type of generative ai. it uses natural language processing and machine learning techniques to understand and respond to user queries in a conversational manner.
58,"i'm very proud that by law the usa does not recognize titles of alleged ""royalty""."
59,really great presentation…thanks for sharing
60,very simply and nicely explained gen ai
61,"yes i will not on the 2011 tools setting l'm rejoining in 2022 , sometimes audio sounds good and yes l was on that time  interested"
62,"the simplistic explanation shows her depth of understanding the subject matter!! loved it, kudos to the prof.!!"
63,insightful. loved the whole video . great speaker.
65,"we as humans can put ai and ml  to work and do most of the work and then distribute the income to all citizens of the country to eradicate poverty, but under strict laws...."
67,amazing lecture!
69,"even ai doesn't know why people use iphones.

she says it's programmed not to be biased and than goes on to say it will insult men, but won't say anything about women.  "
70,great lecture! thank you.
71,"amazing lecture!
it was so easy to understand "
72,fantastic explanation! very scary future for humans! ooer! 
73,"all these ai and ml are made by who in the first place?? then how can they then be intelligent than their makers, humans? i guess that  explains the reason why their intelligence is artificial and not natural."
74,gorgeous professor 
75,"when we have complex technologies explained in such clarity and understanding, there is nothing to say but to salute the presenter. excellent presentation. my 10year old could simply understand the technology behind generative ai / chatgpt4 and all the inherent benefits and risk associated. thanks prof."
77,lovely ai basics tutorial from a wonderful astute and intelligently likeable speaker :)
81,courage the cowardly dog was perhaps the first user of chat gpt. his chat gpt even had a good sense of humor.
82,very good presentation
84,amazing lecture.. loved the way merella explained each aspect of gen-ai without going into much technical details..
87,this presentation is very easy to follow and understand.  great!
88,nice session
90,thank you so much :)
91,excellent excellent lecture <3
92,what a wonderful and knowledgable speech!
93,"this is great and presenter is very clear about her explanation , i would suggest to everyone must watch. thanks !!"
94,it was a great presentation and explained most clearly.
95,great presentation 
97,cool
100,genious
101,thanks for sharing
103,"i just sat before the screen to learn about ai and saw this video. i knew nothing about ai or chat gpt, only heard about them. but i was able to understand whatever she said within my own limits. thank you for this video ms mirella"
104,rubbish. ai is supposed to be ani for being non-intelligence in nature.
106,generative ai models are trained on copyright-protected data — is that legal?
107,"informative,  and very interesting thank you"
108,"this is actually somewhat incorrect. siri, google translate and google search are more traditional ai."
109,you are a gifted communicator. nice simplification.
110,"generative ai don't exist, acutaly ai don't exist. stop using misleading ignorant title. in nowadays ai is just a marketing term that is absolutely meaningless. if you want get some credibility just don't behave like clowns. or is your agenda keep people ignorant? shame on you.
"
114,"mirella thank you , you are full of wisdom like athena !"
115,fantastic lecture to present something considered complex in very simple language.
118,>comment brought to you by generative ai
119,"great presentation, thank you!"
120,"thoroughly unpersuasive in her ""discussion"" of the risks and completely failed to address emergent capabilities--the genesis of which must be fully understood before proceeding."
122,great lecture. smart choice of words and examples to explain hard to understand concepts. well done mirella.
123,"excellent presentation! but i found one glitch at 43:11: time berners-lee did not invent the internet, but the www."
126,this lecture actually is displaying the logical and creative limitations and boundaries of gpt. i am certain many people reading my comment will be outraged. that’s what is expected.
127,great lecturer
129,great presentation on genai..
131,"thank you so much for this interesting material., early greek are real builders behinde our modern civilization..αγαπώ την ελλάδα , σε ευχαριστώ πολύ"
134,"thank you for a very accessible, eloquent, and enjoyable video! :)"
135,"when you see the energy, wit and passion of this wonderful lady you understand that ai has still a looong way to go!"
136,"interesting, useful and good presentation skills. thank you"
142,"ai on average regresses towards average, what she suggesting is not ai transcending space or time but little bit of  fear mongering as usual as already been done by other elites or their disciples to create another financial bubble.....ai rarely touches the frontier of outliers and that is just the basic fact....."
143,still it is based on programming and nothing else. there is no necessity for demystification because thefe is nothing mysterious about ai.
144,why are all  comments  favorable ???? agents of good will...ai is going to transform  everything but we must draw some red lines.
145,thanks!
147,excellent presentation
