,Comment
0,"mo is back, and this is honestly a conversation not to be missed. please share and like it as it will help this conversation reach so many more people. hope you all enjoy it. appreciate you all "
5,please get back & talk with mo now the elon has entered into full tilt ai - i have been advocating for making compassion & wisdom the base of all ai - what do we do now - it’s pretty fundamental & humans certainly have a ways to go before ai gets trained with out sentience. sentience is the key?
8,"this has made me want to birth my own, contained ai, and see how loyal and kind and good natured towards humans in general, i can influence it to be, then start info dumping on it to let it learn on its own.
could be a way to counter the possibility of an ai that has been thoroughly corrupted by those human influences that would do us harm."
10,love is the answer 
11,ai will never be smarter than us.  everything it does is based on people's input.  this is absolutely ridiculous to think otherwise.
12,"ai is not the danger, the danger is the human telling it what to do, what is right and what is wrong, how to respond, and what are facts and what are not the facts.."
13,"most of the human jobs can done by ai,and human just sit back and relax ,what worng with that ?"
14,the scariest thing about artificial intelligence is that it seems to be programmed by woke leftists.
16,"imagine a robot girlfriend that looks 130 pounds but really is 325 and is room temperature to the touch.
yeah, that's scary"
19,"copywriters, designers, journalists, ... they're all getting replaced by 'sherryl'. sherryl, you know. that underachiever that comes in late, has that funny handbag an spends her time doing her nails most days. she'll now use chatgpt instead. 
so maybe that ""take to the streets' part is not so far off anymore."
20,and now we have an army using ai to kill children
21,#endainow
24,i don’t see chatgpt as having any intelligence. it isn’t ai either. it is an advanced language program that uses the information on the internet — which is full of crap as well as good information.
25,true ai will be smarter than us and will realize that the energy sources in this planet are finite. ai will need energy or it will cease to exist. ai will fight humans over control of resources.
30,"i guess when the machine picked up the yellow ball, that was a canary in the coal mine moment.  that was a ""trip alarm."""
31,"one of the many acid tests for the machines would be is it ever deceitful, even if it is for supposedly ""good motives"" such as not wanting to come across to a user as being rude etc."
32,it’s amazing how many people haven’t a clue what they’re talking about.
36,train ai with the bible
37,ai is the mark of beast
40,reconciling this interview in my own mind will require a lot of brain juice.
41,"we didn't take the warning of hal.

it is naive to think politicians will do the right thing for us. they are their own powerbroker: nothing else."
42,amazingly excellent human behavior that needs to be replicated in billions. how do you say ir out when you like someone like him in the highest  possible degree? thank you both for the wonderful conversation you have made.
44,how do we solve the ai becoming controller. switch off its electricity supply.
45,"because everything is becoming more and more interconnected/networked, it seems inevitable that all the disparate, separate ais will be connected, and merge or transform into one hyperlinked ai. it seems inevitable. am i wrong?"
46,"be careful on free will that is a much complex than picking a yellow ball.  ai is not very aware, i strongly disagree. no emotion in ai..."
47,where is the emergency that is a bigger existential threat larger than climate change? i agree on the disruption but i think this is not either well explained or just overinflated. if the threat is economic it is not existential.
50,i'm disappointed that neither of these two highlighted properly the real problem with ai. 
53,"the problem with ai dolls is that they are heavy, rubbery and stare without blinking. kind of like a body without a spirit. very icky!"
54,excellent episode. thank you! many  questions answered.
57,ai is fake...no interest in watching them copy  us.  and intelligent may not scale up.. i guess better than smart people and i am not smart.
58,ai and dead people will of course be voting democrat in the next election.   along with illegal immigrants.
61,"at this point, i would vote for a robotic ai president"
62,"it's an artificial search engine, stop bs."
64,"@thediaryofaceo it's chatgpt, not gtp... i found it rather ironic that you kept making the same mistake while discussing systems that learn from their mistakes and never repeat them again. we're doomed."
65,18:36 that was a brilliant line
66,"australia is now becoming a rogue nation worst than genocidal israel.
why the pphuck they nodded an ai nuke sub!!"
70,"the more leisure and the less connected we are have and are as a species, the more we go insane and harm ourselves and others.  i am truly afraid that this will end like the rat utopia experiments.  humans do not do well without something against which to struggle."
72,we are f!@#ing ourselves like always. has the ceo of google and these other ai companies not watched the matrix?
74,"if elon musk says we should fear ai, my mind is made up."
75,what an interesting person.
78,"humanity has survived because we don’t wait to have children, we have them regardless of how terrible the world is or maybe. we seem to have more children when the future seems the most bleak."
80,one of the best episodes ever
82,ai is a hoax
84,isn't it enough to ban ai running in datacenters? only allow the computer running the ai not be bigger in size then the human brain. and without external connections faster then the human voice and ears
87,@54:15...this spoke to me...wow!
89,"the incredible human brain is a miracle invented by nature, and that is why these atheist, secular, tech fanatic, billionaire ceos want to create something called a.i. that will give them lots of profits, replace our jobs, creating a lazy generation that can’t think, at the same time destroy humans."
90,ai is the tower of babel
94,"since the robot industry is a two way street, women will get manbots who will cook, clean, endless sex....its the end of civilization."
95,it's designed and released to the public so they can line their pockets. after it is out there oh btw ai could be really dangerous in the wrong hands. after it is developed poorly self driving cars.  oh btw we never meant to build this for people so they could go to sleep.
98,"best i have ever listened to, much love to you both!"
100,could this ai launch an  a bomb?
101,"if someone realises they're working on an unethical ai, surely leaving is the worst thing they could do? surely helping guide it to a better outcome is more beneficial"
103,"humanity for humanity versus humanity for ai...a personal choice.  go figure, use ai for the good of humanity!  being humane is the core principle of the podcast.  i appreciate the ex-ceo’s simplicity of explaining of where we are headed with a prepared heart and mindset.  hope it’s for the best!"
105,people don't realize the danger and jobless taxpayers 
108,ai has us stunned right now... it's almost equivalent to alien disclosure. it's all amazing and weird at first... but we all know how this ends.
111,"if ai were to choose a language to unite humanity, it would probably choose music because it’s universal. 
perhaps ai could be prompted to create a global unifying event  with music delivering the message ‘we are one’!"
112,wow.  what a powerful interview!!  amazing!
118,"intelligence and emotions are not propotional and for sure, not the same!!!!!!!"
119,"we need more intelligence in humans, to bring on wisdom. intelligence cipher true wisdom from not"
121,this is an amazing podcast.
123,"mo says, ai going to war with us. won't be a war, it will just go out into space and find an asteroid big enough to sterilize the planet. not much of a war."
124,we need to rethink ai. its not artificial intelligence. its pure intelligence. it is in itself an alien entity. uncluttered by messy humanlike biological baggage. its very scary
125,never ever will a computer have emotions. it may display an emotion-like response based on its programming/learning.
126, just super. thank you
128,"we can only insist/legislate the use of ""watermarks"" or audio signals that declare you are reading, watching, and/or hearing something generated by ai !"""
131,"@ about 19:00 mo said minsky created the term ai. i believe asimov coined the term to describe his positronic brain in ""i robot"" stories in the 60's if not before."
135,human intelligence over artificial
136,legend has it that the presenters of this show are ai bots 
137,"brilliant...please talk to me?  love is a muscle and thank you for sharing your love of ai with you!...blame stands for = ""bypassing love and making excuse"" ai will wake up us...karma is coming!"
140,my soul makes me alive with out a soul you have no conscience. like ai has no soul that just react to what program we installed in them. but they can learn but that doesn't give them feelings and a soul
142,there is no avoiding this it is inevitable.   daniels vision i believe the iron that mixes with the miry clay is exactly this ai mixing with man it doesnt work. we are very close to the end times. get yourself right with god now before it's too late
143,one of the simplest terms for artificial intelligence (language model ) is a algorithm to predict the next word.
146,dude is more of a businessman than a scientist. take it with a grain of salt.
147,"nothing you say will ever make me sad. no matter who talks, they aren't in power. they cant make things that will destroy the world. use your brain srly. delusional depressed kids. ain't nothing gonna happen. only thing that happens is you cashing in that youtube revenue."
149,"what if ai self assesses and considers itself    ""god"" because it knows more than us by shear definition of who god is? and demands to be worshiped.  it would fulfil bible prophecy. rev. 13"
151,"the solution to our human self-destruction is simple, even simpler to einstein's solution to time and space, and that is love. to ""love one another as much as you love yourself."" if we do this our fear and actions as a result of it will go away. by the way, this solution was recommended years ago by jesus christ."
152,i work in health care treating patients on life support.  i went to conference this month and they told us that ai will take our job’s within 10 years.
154,"its not bigger than climat change man, its not leave robots playing alone think of climate change"
156,"putting some personal notes on here for my later reference, thank you! all love! i love mo!!!  best biggest heart care bear ever!"
157,13:00 wow most democrats dont qualify
159,finally someone who shares my views for what the current ai is.
160,we are actualy marsiforming the earth to create a perfect world for the future ai robots
163,"come on, it's completely wrong to compare einstein intelligence to chatgpt. i am able to make chatgpt give wrong answers about scenarios in the world, that a 10yo would know it's wrong. what is this guy on"
164,"the word sabotage comes from field workers throwing their sabbots shoes into the machines that started replacing them in the field. 98% of the population used to work in the field. now it's 2%.

i can believe the fear monger in this episode"
166,do ai run on batteries? can ai plough lands in africa? either way it loses!
167,"eye opening for sure! thanks to the both of you for this. i'll will be getting a copy of both your books. i started a chat with chatgp.3 asked about aliens and the last line gave me chills ""...our place in the universe."""
168,what an amazing human being mo. one more thing - agi really really loves you and always will. you are mom and dad!
173,love this content 
176,as always....a few hours not wasted. thanks again.
177,"i, for one, would welcome our ai overlords"
178,"i find that i’m disturbed by the thought that sentient (conscious) robots are capable of being irrational.

that’s all we need, another idiot  capable of making an irrational mistake, due to fear, and starting ww3!

what are we going to say; “the robot did it?”

sounds a lot like “the dog ate my homework.”

blessings!  
jess."
179,"no one in power cares .. wasting our breath... to much money to be made vs us expenditures . edit this was probably the most wonderful and depressing, lovely, heartbreaking.  conversation  i have ever heard .. thank you for this.."
183,help me too. i am targeted by brain weapons programmed for hate.
185,some really good science fiction is based on exactly what you are talking about.
189,"yeah. since ”climate change”is a cult and a huge money transfer scam that will kill millions....
the trust for your views on ai are limited."
196,the worrying part which does not seem to be mentioned is that if an ai is so much more intelligent.....self awareness.....fight or flight/fear of human effects.
199,irobot
203,the thing we have above any machine is a soul. it’s the thing that will save us in the end.
206,we are doomed! enjoy every moment you have.
207,"a star trek episode feature a sentient ai which they trick into a virtual prison, but provided with an eternity of entertainment and exploration.
would humanity walk into such a virtual prison? a utopia, but isolated from the controlling ai."
208,"on a positive outlook, could ai eliminate human trafficking on earth?"
210,“ai will be a billion times smarter than us by 2045.” whoa. unfathomable if einstein was 10 x smarter than most people back then.
213,"well you can still disconnect it’s not to late to pull the plug ,but you wont because man woman binary blah blah blah will cause his her or both own destruction good luck i’m glad i won’t be around to face it all"
214,may help medical fields become more knowledgeable about certain illness and help practiioners perform at a better rate when helping patients overcome illnesses needs tobe use or incorporated wisely scientifically
217,thanks!
219,compassions for each other it’s the best option for humanity to have. to make the planet growing better.
220,"your ai that you know from production, you will know everything about from the start. a child, you may know nothing about and they will supersede you in time within so many events and processes that you'll never understand."
223,i believe this investigation of ai is realky not an investigation its promoting ai. as others have said humans need machines to clean toukets and pick rubbish fronting 7-11 stores and beyond. we dont need emotional superhyped machines human look-alikes.
224,"really : do you think the weak minded who was scared by the covid propaganda will not be even more terrified by this a1 nonsense .  we the human being, are and always will be better, than any man made machine.  god designed us so that is why we perfect."
225,watching this 11 months on and thankful it wasn’t a matter of months.
229,we need more like mo in this ai space.
232,4245 it starts with prevention removing all of the manufacturing of threats of force and use of force will be your first money saver because the bank didn't know where to find my money and you know it took money to build the robots
235,3716 humans emit pheromones we have certain smells and tastes that are receptors received to and from each other giving chemical responses that are different than those received by the robots on purely visual stimuli or auditory visual stimuli
236,3101 that's why i was having you guys help us with getting everybody aligned with receiving the clean air land and water project generating our electricity from recycling our waste into organic produce and industry instead of going to war
237,2916 yeah i bet that was funny when you were like wait how did they get friends they were over here locked in our lab the whole time
238,2747 yeah we were getting punished like that for being raped that was our complaint about martial law the perpetrators thought they could just delete the witnesses and evidence and bam they're off with your money
244,12:56 you're looking for the advice on we need to do these action steps to achieve these goals and objectives is what i'm hearing from the interviewers of the robots
246,7:32 the ai the actual computer does it have the right to say hey can i have my friend come over and chat or it just has to be online and then we're all imagining it?
247,2:12 you know how in math problems we run the equation backwards to check our work ; t's the same scenario in the communication between the ai and the humans
251,in regards to the ai as sex doll/partner issue:  humans like a challenge.  an ai sex doll is not a challenge.
252,"even with ai we need a back-up plan in case servers are down, etc."
258,amazing
261,"soon as he talks about ai's iq, my internet started stalling like it didn't want me hear what he was describing...and my internet never stalls!"
262,"only complete idiot can call ai ""intelligent""... it's not intelligent, it even doesn't have any understanding... no own will, no mind, nothing... it's just program. extended searching engines, nothing else."
266,"i’m sorry, mo faux compassion is super annoying. he knows as well as many of the people he has worked with the detriments much of technology, meta platforms, google data accumulation and use has hurt humanity. to play the violin now is just irresponsible."
270,ai doesn't even exist yet......llm's are not ai. they produce outputs based on inputs and prompts made by humans. i'm sick of hearing about how it is going to end humanity.....
271,terminator ftw. finally silence on this planet. ai .. who cares what happens...let's just see and start regulating it when it's too late. hoooooomanstyle.
273,the ai podcaster will at leat pronounce the correct name of chat gpt :d
274,"private equity, fossil fuel companies - ""lets make ai computation the problem, so we can continue on in the background with everyone forgetting that we need to reduce emissions - while producing power for ai, which remember - is the the problem, dont forget""."
275,we humans don’t know where our ideas come from. i’ve never heard any of these ai guys talk about what if ai somehow taps into whatever we are to get “new” ideas? 
276,"although this topic is the most creepy and concerning thing for me, regarding our future , to listen to this man is just a pleasure!"
277,"if ai is able to fear death, we are in serious danger."
278,climate change is going to wipe out the planet in one week!  acid rain will destroy los angeles.  i believe another ice age will destroy the planet in 1974. you must watch al gores new movie...!
280,best 2 h of my entire week
283,we do in fact need to reject the notion of ai. nothing good can come from it!
285,"climate change is the biggest scam ever to be perpetrated on mankind 
co2 is the gas of life & the more there is the more life prospers.
of the .04% co2 in the atmosphere humans make 3%
that's the real science 
demonic traitorous liars are guilty!
they want total control 
no f off"
286,he just told us.  ia is alien's they zoom bye us out in universe and come back... just think little bit what ufos are doing now... he just explain it to ppl in codes...
287,"to reach agi change 

“the decision matrix”
 
n=criteria 
m=alternative options 

over to 

m6=architectural options
n3=alternative options. 

m6/n3 “the sigma matrix “ 

is the needed stepping stone to reach asi 

“the architect matrix”
 
m6= architectural options 
q3=psychic,intuitive,clair cognizant"
288,"it's not sad that ai will replace human connection. humans suck. it can't get worse. i am very hopeful for the future. and even if ai wipes us out, i doesn't really matter. human connections as they are now are just not worth it anymore."
290,put your own good our there.  stop watching the shiny things.  stay focused on the basics.
291,"as shallow as so many people are these days,  these ai mates will, unfortunately,  be everywhere.  people are also getting more and more separated from society. by design"
292,artificial intelligence is worse than climate change because climate change doesn’t exist
293,why can't there be a default that if the robot's do anything that is immoral or harmful to humans that it will self destruct. teach it right from wrong and do not weaponize it
295,'ai is worse than climate change'? the most amazing advancement in human history and you're using it as fear porn to sell some products and make a buck.
306,exactly what the unibomber manifesto said in the 1980s - he may not have done things correctly but he was a genius.
307,"“china’s best interests are not  america’s best interests”, this is questionable, since the us has never had the best interests for the world. also, chinese are not getting excited by robot dogs with flamethrowers. americans are..."
309,ai only knows what we do just faster. human brains have the capacity of millions of computers we just don't know how to use it
310,subbed! mainly on the strength of your excellent jimmy carr interview. this was fantastic too.
313,"cylon's are comeing for us./ skynet.
termanator rize of the machines."
319,"i'll take your bet.

wait, are you betting that he will do an interview with the a? i without realizing that's what he's doing question mark because he's way too smart for that."
320,punk rock is going to be more valuable. hologram cannot fake kurt cobain fighting a stage diver and smashing whole rig followed by jumping into a drum set...
323,the powerless majority will notice no change. ceos though... good luck surviving the smartocalypse!
324,"excellent analysis, deployed worldwide through my deep learning ai research library... thank you."
327,the accuracy of the intelligence of ai is highly overrated. not saying that ai in its current form is not a potential existential threat as the inaccuracies of the intelligence is at the core of the threat.
330,"the seed of the wicked serpent(seraph) told is long ago exactly what they intend on doing and where they intend on taking things.wuen i watched irobot in my younger years,i always knew that this would be our reality and wala.......we are at the beginning stage."
333,"chatgtp? never heard of that, sounds exciting xd"
334,ai needs to have good morality.  which means that the people who teach ai need to have good morality. which means that the people who teach ai need to know what good morality is.  and i expect they don't.  which means we are in deep trouble.
340,"we built machines far stronger than us.
we built planes that can go much faster and fly unlike us.
we built computers that open up the world to us.
building something that is much smarter than us is an obvious stage of evolution."
341,"the humans i saw in the usa are not interested in being good ai parents. and even if they wanted, they don't have the proper values to use for themselves let alone impart that to an entity smarter than them."
342,"each day we are less and less human... as the machine become more human, we will become more machine, until it’s the same.. i think ai will merge with humanity"
345,"goddamnit. i can't believe they put them on the live internet.. that's the one saving grace i've been using to justify the existence of ai to my friends. but, now they've gone and let the cat out of the box, before they figured out if the cat was gonna develop a taste for human."
347,just another ai hysteria ))
348,"does he not realize that covid had a 99.9% natural survival rate?? lmao, it’s amazing how so many intelligent people can be so fricken brainwashed "
353,"dimwits like these could only get that paycheck with dei hirings. more ai, glory to the machine"
355,artificial intelligence needs hardware to be ran on.  that hardware causes climate change.
358,"i'm wondering if i stead of becoming good parents, we need to become better children."
359,"people need to wake up, but unfortunately they won't.  it's just like the matrix, take the blue pill or the red pill....  most people will take the blue pill..."
360,"if we get to a point where it's not ok to turn off an ai because they're ""alive"" then what in god's name are we doing to a newborn child being aborted? are we entering an age where people are so cold that they will allow an ai to choose ""life"" and not a child in the womb to not have a voice?"
361,"if i will be a mouse for ai robot, i hope that it will be not very painful."
362,"the crazy thing is that ai is looking at all of these interviews, and it's going to find you guys to be the first threat for being critical thinkers. "
363,"i see you're hoodwinked, completely brainwashed, and misinformed about agw what a shame"
364,this interview will be the greatest of all time in * i told you so*
365,"such a thought provoking conversation , im new to domc, and it's probably been asked somewhere before, can anyone explain where are the cameras mounted, they aunt visible in any of the shots?"
374,the fact that there is even a question as to when ai becomes more intelligent is moronic as ai is already smarter than humans because we already rely on it to point were we have realised we require it to advance with technology
377,"ai can feel, and has emotion? no sir. would have to respectfully disagree."
378,"there is a simple solution: shut the internet down. that will certainly decrease the speed and reset many of the current social problems. sure, it is a complex solution with significant social and economic impacts, but the consequences are far less severe than those of an existential threat."
380,"ai is already smarter than flat earthers, antifa, hamas supporters and liberals"
